kind	alias	id	category
armor	aketon	double_leather	leather
armor	aketon	reinforced_leather	leather
armor	arming coat	double_leather	leather
armor	arming coat	reinforced_leather	leather
armor	arming doublet	reinforced_leather	leather
armor	arming doublet	full_leather	leather
armor	armor	leather_breastplate	scale
armor	armor	brigandine_armor	scale
armor	armor	studded_leather	scale
armor	armor	cuirboulli_leather	scale
armor	attire	normal_clothing	cloth
armor	augmented breastplate	augmented_plate	plate
armor	augmented chain	augmented_chain	chain
armor	augmented chainmail	augmented_chain	chain
armor	banded armor	brigandine_armor	scale
armor	body armor	full_plate	plate
armor	body armor	chain_hauberk	chain
armor	bodysuit	double_leather	leather
armor	breastplate	leather_breastplate	scale
armor	breastplate	augmented_plate	plate
armor	breastplate	metal_breastplate	plate
armor	brigandine	brigandine_armor	scale
armor	brigandine armor	brigandine_armor	scale
armor	brigandine leather	brigandine_armor	scale
armor	brigandine shirt	cuirboulli_leather	scale
armor	brigandine shirt	leather_breastplate	scale
armor	buffcoat	light_leather	leather
armor	buffcoat	full_leather	leather
armor	byrnie	chain_mail	chain
armor	casting leather	light_leather	leather
armor	casting leather	full_leather	leather
armor	casting leathers	full_leather	leather
armor	casting leathers	light_leather	leather
armor	chain	chain_mail	chain
armor	chain	augmented_chain	chain
armor	chain	double_chain	chain
armor	chain	chain_hauberk	chain
armor	chain armor	double_chain	chain
armor	chain armor	augmented_chain	chain
armor	chain armor	chain_hauberk	chain
armor	chain armor	chain_mail	chain
armor	chain corslet/corselet	chain_mail	chain
armor	chain corslet/corselet	double_chain	chain
armor	chain hauberk	chain_hauberk	chain
armor	chain shirt	chain_mail	chain
armor	chain shirt	double_chain	chain
armor	chain tunic	double_chain	chain
armor	chain tunic	chain_mail	chain
armor	chainmail	augmented_chain	chain
armor	chainmail	chain_mail	chain
armor	chainmail	double_chain	chain
armor	chainmail	chain_hauberk	chain
armor	clothes	normal_clothing	cloth
armor	clothing	normal_clothing	cloth
armor	coat-of-plates	brigandine_armor	scale
armor	coracia	augmented_plate	plate
armor	corslet/corselet	leather_breastplate	scale
armor	cuirass	metal_breastplate	plate
armor	cuirass	cuirboulli_leather	scale
armor	cuirass	augmented_plate	plate
armor	cuirass	leather_breastplate	scale
armor	cuirboulli	cuirboulli_leather	scale
armor	cuirboulli leather	cuirboulli_leather	scale
armor	cuirboulli leathers	cuirboulli_leather	scale
armor	disc armor	metal_breastplate	plate
armor	double chain	double_chain	chain
armor	double chainmail	double_chain	chain
armor	double leather	double_leather	leather
armor	double leathers	double_leather	leather
armor	ensemble	normal_clothing	cloth
armor	field plate	full_plate	plate
armor	field platemail	full_plate	plate
armor	full leather	full_leather	leather
armor	full leathers	full_leather	leather
