type	base_name	armor_group	armor_sub_group	base_weight	min_rt	action_penalty	normal_cva	magical_cva	hindrances_0_to_19	hindrance_max	training_reqs_0_to_19
cloth	normal_clothing	1	1	0	0	0	25	20	0|0|0|0|0|0|0|0||0|0|0|0|0|||0|||	0	0|0|0|0|0|0|0|0||0|0|0|0|0|||0|||
cloth	robes	1	2	8	0	0	25	20	0|0|0|0|0|0|0|0||0|0|0|0|0|||0|||	0	0|0|0|0|0|0|0|0||0|0|0|0|0|||0|||
	-	1	3								
	-	1	4								
leather	light_leather	2	5	10	0	0	20	15	0|0|0|0|0|0|0|0||0|0|0|0|0|||0|||	0	0|0|0|0|0|0|0|0||0|0|0|0|0|||0|||
leather	full_leather	2	6	13	1	-1	19	14	-1|0|0|0|0|0|0|0||0|0|0|0|0|||0|||	0	2|0|0|0|0|0|0|0||0|0|0|0|0|||0|||
leather	reinforced_leather	2	7	15	2	-5	18	13	-5|0|0|0|0|2|0|1||2|0|0|0|2|||0|||	4	6|0|0|0|0|6|0|2||6|0|0|0|6|6||0|||
leather	double_leather	2	8	16	2	-6	17	12	-6|0|0|0|0|4|0|2||4|2|0|2|4|||0|||	6	6|0|0|0|0|15|0|6||15|6|0|6|15|15||0|||
scale	leather_breastplate	3	9	16	3	-7	11	5	-7|3|4|4|4|6|3|5||6|3|4|4|6|||2|||	16	10|10|15|15|15|27|10|20||27|10|15|15|27|27||6|||
scale	cuirboulli_leather	3	10	17	4	-8	10	4	-8|4|5|5|5|7|4|6||7|3|5|5|7|||3|||	20	15|15|20|20|20|35|15|27||35|10|20|20|35|35||10|||
scale	studded_leather	3	11	20	5	-10	9	3	-10|5|6|6|6|9|5|8||9|3|6|6|9|||4|||	24	20|20|27|27|27|70|20|50||70|10|27|27|70|70||15|||
scale	brigandine_armor	3	12	25	6	-12	8	2	-12|6|7|7|7|12|6|11||12|7|7|7|12|||5|||	28	27|27|35|35|35|130|27|110||130|35|35|35|130|130||20|||
chain	chain_mail	4	13	25	7	-13	1	-6	-13|7|8|8|8|16|7|16||16|8|8|6|16|||6|||	40	35|35|50|50|50|210|35|210||210|50|50|50|210|210||27|||
chain	double_chain	4	14	25	8	-14	0	-7	-14|8|9|9|9|20|8|18||20|8|9|9|20|||7|||	45	50|50|70|70|70|290|50|250||290|50|70|70|290|290||35|||
chain	augmented_chain	4	15	26	8	-16	-1	-8	-16|9|11|11|10|25|9|22||25|8|11|10|25|||8|||	55	50|70|110|110|90|390|70|330||390|50|110|90|390|390||50|||
chain	chain_hauberk	4	16	27	9	-18	-2	-9	-18|11|14|14|12|30|11|26||30|15|14|15|30|||9|||	60	70|110|170|170|130|490|110|410||490|190|190|190|490|490||70|||
plate	metal_breastplate	5	17	23	9	-20	-10	-18	-20|16|25|25|16|35|21|29||35|21|25|21|35|||10|||	90	70|210|390|390|210|590|310|470||590|310|390|310|590|590||90|||
plate	augmented_plate	5	18	25	10	-25	-11	-19	-25|17|28|28|18|40|24|33||40|21|28|21|40|||11|||	92	90|230|450|450|250|690|370|550||690|310|450|310|690|690||110|||
plate	half_plate	5	19	50	11	-30	-12	-20	-30|18|32|32|20|45|27|39||45|21|32|21|45|||12|||	94	110|250|530|530|290|790|430|570||790|310|530|310|790|790||130|||
plate	full_plate	5	20	75	12	-35	-13	-21	-35|20|45|45|22|50|30|48||50|50|45|50|50|||13|||	96	130|290|850|850|330|890|490|850||890|890|790|890|890|890||150|||
