family	name	role	order	flags	extra	pattern
attack	sunder_shield		1		group=priority	You swing your .+? at (?<target>.+?)'s .+? and connect!
attack	disarm_weapon		2		group=priority	Choosing your opening, you attempt to disarm (?<target>.+?)'s (?<weapon>.+?) with your .+? and connects?!
attack	disarm_weapon		3		group=priority	(?<attacker>.+?) swings (?<weapon>.+?) at your .+? and connects!
attack	tackle		4		group=priority	You hurl yourself at (?<target>.+?) and connect!
attack	attack		5		group=basic	You(?<aimed> take aim and)? swing .+? at (?<target>[^!]+)!
attack	attack		6		group=basic	You(?<aimed> take aim and)? (?:thrust|punch|jab|kick|grapple) with (?<weapon>.+?) at (?<target>[^!]+)!
attack	fire		7		group=basic	You(?<aimed> take aim and)? fire .+? at (?<target>[^!]+)!
attack	hurl		8		group=basic	You(?<aimed> take aim and)? throw (?<weapon>.+?) at (?<target>[^!]+)!
attack	grapple		9		group=basic	You(?<aimed> make a precise)? attempt to grapple (?<target>[^!]+)!
attack	jab		10		group=basic	You(?<aimed> make a precise)? attempt to jab (?<target>[^!]+)!
attack	kick		11		group=basic	You(?<aimed> make a precise)? attempt to kick (?<target>[^!]+)!
attack	punch		12		group=basic	You(?<aimed> make a precise)? attempt to punch (?<target>[^!]+)!
attack	wand		13		group=basic	You wave your .+ at (?<target>[^\.]+)\.
attack	balefire		14		group=spell	You hurl a ball of greenish-black flame at (?<target>[^!]+)!
attack	bane		15		group=spell	A sickly, violet haze encompasses (?<target>.+?)\.
attack	blood_burst		16		group=spell	Blood sprays from (?<target>.+?) neck in a crimson arc!
attack	cold_snap		17		group=spell	An airy mist rolls into the area, carrying a harsh chill with it.
attack	ethereal_censer		18		group=spell	(?<target>.+?) becomes enveloped in the incense smoke!
attack	divine_wrath		19		group=spell	The sounds of crashing waves increase to an almost deafening level until, suddenly, a powerful wave surges into the area, violently slamming directly into (?<target>[^.]+)\.
attack	divine_wrath		20		group=spell	White sparks flicker around you, and you sense electrical energy gathering in the instant before a massive bolt of lightning spears toward (?<target>[^.]+)\.
attack	divine_wrath		21		group=spell	A throwing knife formed of shimmering golden light hurtles from the hand of one of the spirit jesters toward (?<target>[^.]+)\.
attack	divine_wrath		22		group=spell	Within the reddish haze swirling beside (?<target>[^,]+), the man brings his forging-hammer sharply down upon the anvil, producing a loud clang\.
attack	divine_wrath		23		group=spell	Within the reddish haze, the man brings his forging-hammer sharply down upon the anvil, producing a loud clang\.
attack	divine_wrath		24		group=spell	A brown stag materializes in midair, leaping out of nowhere to try to impale (?<target>[^!]+) upon its magnificent antlers!
attack	divine_wrath		25		group=spell	A beam of vermilion light lances away from the rainbow around you to strike (?<target>[^,]+), bathing the .+? in colored radiance\.
attack	divine_wrath		26		group=spell	A beam of cerulean light lances away from the rainbow around you to strike (?<target>[^,]+), bathing the .+? in colored radiance\.
