family	name	role	order	flags	extra	pattern
flare	acid		1		damaging=1;aoe=1;spawns=0	\*\* Your .+? releases? a spray of acid! \*\*
flare	acid		2		damaging=1;aoe=1;spawns=0	\*\* Your .+? releases? a spray of acid at (?<target>.+?)! \*\*
flare	acid		3		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? releases? a spray of acid(?: at (?<target>.+?))?! \*\*
flare	acuity		4		damaging=0;aoe=1;spawns=0	Your .+? glows intensely with a verdant light!
flare	acuity		5		damaging=0;aoe=1;spawns=0	(?<attacker>.+?)'s .+? glows intensely with a verdant light!
flare	air		6		damaging=1;aoe=1;spawns=0	\*\* Your .+? unleashes a blast of air! \*\*
flare	air		7		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? unleashes a blast of air! \*\*
flare	air_flourish		8		damaging=1;aoe=1;spawns=0	\*\* A fierce whirlwind erupts around .+?, encircling (?<target>.+?) in a suffocating cyclone! \*\*
flare	arcane_reflex		9		damaging=0;aoe=1;spawns=0	Vital energy infuses you, hastening your arcane reflexes!
flare	blink		10		damaging=1;aoe=0;spawns=1	Your .+? suddenly lights up with hundreds of tiny blue sparks!
flare	blessings_flourish		11		damaging=1;aoe=1;spawns=0	\*\* A crackling wave arcs across your body, striking (?<target>.+?) with lightning speed!  A spiritual resonance warms your core, lending you renewed strength! \*\*
flare	blessings_flourish		12		damaging=1;aoe=1;spawns=0	\*\* Shimmering arcs of lightning stream from your hands, colliding with (?<target>.+?) in a rapid burst!  A stirring force ignites within you, augmenting your spirit! \*\*
flare	blessings_flourish		13		damaging=1;aoe=1;spawns=0	\*\* Sparkling tendrils of energy weave around your limbs, shocking (?<target>.+?) in a bright flare!  The pulse leaves you feeling spiritually emboldened! \*\*
flare	blessings_flourish		14		damaging=1;aoe=1;spawns=0	\*\* A faint hum courses through you as arcs of electricity coil around your arms, jolting (?<target>.+?) in a vivid burst!  The current resonates with your spirit, boosting your energy! \*\*
flare	blessings_flourish		15		damaging=1;aoe=1;spawns=0	\*\* You feel a tingling surge channel through your arms, blasting (?<target>.+?) with crackling electricity!  A reassuring feeling of mental acuity settles over you! \*\*
flare	blessings_flourish		16		damaging=1;aoe=1;spawns=0	\*\* Jagged sparks dance along your open palms, lashing out at (?<target>.+?) in a crackling surge!  Your resolve feels bolstered as the energy courses through you! \*\*
flare	blessings_flourish		17		damaging=1;aoe=1;spawns=0	\*\* An electrified aura coalesces around you, crackling outward to shock (?<target>[^!]+)!  The charge resonates with your spirit, heightening your prowess! \*\*
flare	blessings_flourish		18		damaging=1;aoe=1;spawns=0	\*\* Threads of charged light spiral around your arms, striking (?<target>.+?) with a pulsing shock!  A resonant force ripples through you, amplifying your spirit! \*\*
flare	blessings_flourish		19		damaging=1;aoe=1;spawns=0	\*\* Sparks of crackling energy race along your fingertips, shocking (?<target>.+?) with a brilliant flash!  A surge of spiritual power rushes through your veins! \*\*
flare	breeze		20		damaging=0;aoe=1;spawns=0	(?<target>.+?) is buffeted by a burst of wind and pushed back!
flare	breeze		21		damaging=0;aoe=1;spawns=0	(?<target>.+?) is buffeted by a sudden gust of wind!
flare	breeze		22		damaging=0;aoe=1;spawns=0	A gust of wind shoves (?<target>.+?) back!
flare	briar		23		damaging=1;aoe=1;spawns=0	Vines of vicious briars whip out from your [^,]+, raking the \w+ with its thorns\.  The \w+ looks slightly ill as the glistening emerald coating from each briar works itself under its skin\.
flare	chameleon_shroud		24		damaging=0;aoe=1;spawns=0	A tenebrous shroud stitches itself into existence around you as you gracefully retreat into the shadows!
flare	cold		25		damaging=1;aoe=1;spawns=0	Your .+? glows intensely with a cold blue light!
flare	cold		26		damaging=1;aoe=1;spawns=0	(?<attacker>.+?)'s .+? glows intensely with a cold blue light!
flare	cold_gef		27		damaging=1;aoe=1;spawns=0	\*\* A vortex of razor-sharp ice gusts from .+? and coalesces around (?<target>[^!]+)! \*\*
flare	concussive_blows		28		damaging=1;aoe=1;spawns=0	\*\* Your blow slams the (?<target>.+?) with concussive force! \*\*
flare	concussive_blows		29		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s blow slams the (?<target>.+?) with concussive force! \*\*
flare	disintegration		30		damaging=1;aoe=1;spawns=0	\*\* Your .+? releases a shimmering beam of disintegration! \*\*
flare	disintegration		31		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? releases a shimmering beam of disintegration! \*\*
flare	dispel_flux		32		damaging=1;aoe=0;spawns=0	The (?:elemental aura|hazy film|murky veil) around (?<target>.+?) fluxes chaotically!
flare	dispel		33		damaging=1;aoe=0;spawns=0	\*\* Your .+? glows? brightly for a moment, consuming the magical energies around (?<target>[^!]+)! \*\*
flare	dispel		34		damaging=1;aoe=0;spawns=0	\*\* (?<attacker>.+?)'s .+? glows brightly for a moment, consuming the magical energies around (?<target>[^!]+)! \*\*
flare	disruption		35		damaging=1;aoe=1;spawns=0	\*\* Your .+? releases a quivering wave of disruption! \*\*
flare	disruption		36		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? releases a quivering wave of disruption! \*\*
flare	earth_flourish		37		damaging=1;aoe=1;spawns=0	\*\* Chunks of earth violently orbit .+?, pelting (?<target>.+?) with heavy debris and stone! \*\*
flare	earth_gef		38		damaging=1;aoe=1;spawns=0	\*\* A violent explosion of frenetic energy rumbles from .+? and pummels (?<target>[^!]+)! \*\*
flare	energy		39		damaging=1;aoe=1;spawns=0;markup=1	\*\* A beam of .+? energy emits from the tip of your .+? and collides with (?<target>.+?</a>) .+?! \*\*
flare	ensorcell		40		damaging=0;aoe=1;spawns=0	\*\* Necrotic energy from your .+? overflows into you! \*\*
flare	ensorcell		41		damaging=0;aoe=1;spawns=0	\*\* Necrotic energy from (?<attacker>.+?) flares up momentarily! \*\*
flare	fire		42		damaging=1;aoe=1;spawns=0	\*\* Your .+? flares with a burst of flame! \*\*
flare	fire		43		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? flares with a burst of flame! \*\*
flare	fire_flourish		44		damaging=1;aoe=1;spawns=0	\*\* A blazing inferno erupts around .+?, engulfing (?<target>.+?) and scorching everything in its wake! \*\*
flare	fire_gef		45		damaging=1;aoe=1;spawns=0	\*\* Burning orbs of pure flame burst from .+? and engulf (?<target>[^!]+)! \*\*
flare	firewheel		46		damaging=1;aoe=1;spawns=0	\*\* Your .+? emits a fist-sized ball of lightning-suffused flames! \*\*
flare	ghezyte		47		damaging=0;aoe=1;spawns=0	\*\* Cords of plasma-veined grey mist seep from your .+? and entangle (?<target>[^,]+), causing .+? to tremble violently! \*\*
flare	ghezyte		48		damaging=0;aoe=1;spawns=0	\*\* Cords of plasma-veined grey mist seep from (?<attacker>.+?)'s .+? and entangle (?<target>[^,]+), causing .+? to tremble violently! \*\*
flare	grapple		49		damaging=1;aoe=1;spawns=0	\*\* Your .+? releases a twisted tendril of force! \*\*
flare	grapple		50		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? releases a twisted tendril of force! \*\*
flare	guiding_light		51		damaging=1;aoe=1;spawns=0	\*\* Your .+? sprays with a burst of plasma energy! \*\*
flare	holy_water		52		damaging=1;aoe=0;spawns=0	\*\* Your .+? sprays forth a shower of pure water! \*\*
flare	hurl_boulder		53		damaging=1;aoe=0;spawns=0	You hurl a large boulder at (?<target>[^!]+)!
flare	immolation		54		damaging=1;aoe=0;spawns=0	You bring a hand up to your lips and form a sign with your fingers as you whisper a quiet invocation for Immolation\.\.\.
flare	impact		55		damaging=1;aoe=1;spawns=0	\*\* Your .+? release a blast of vibrating energy at the (?<target>[^!]+)! \*\*
flare	lightning		56		damaging=1;aoe=1;spawns=0	\*\* Your .+? emits a searing bolt of lightning! \*\*
flare	lightning		57		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? emits? a searing bolt of lightning! \*\*
flare	lightning_gef		58		damaging=1;aoe=1;spawns=0	\*\* A vicious torrent of crackling lightning surges from .+? and strikes (?<target>[^!]+)! \*\*
flare	magma		59		damaging=1;aoe=1;spawns=0	\*\* Your .+? expel a glob of molten magma at the (?<target>[^!]+)! \*\*
flare	mana		60		damaging=0;aoe=1;spawns=0	[Yy]ou feel \d+ mana surge into you!
flare	natures_decay		61		damaging=0;aoe=1;spawns=0	Soot brown specks of leaf mold trail in the wake of (?<target>.+?) movements, distorted by a murky haze\.
flare	natures_decay		62		damaging=0;aoe=1;spawns=0	The earthy, sweet aroma clinging to (?<target>.+?) grows more pervasive\.
flare	natures_decay		63		damaging=0;aoe=1;spawns=0	An earthy, sweet aroma wafts from (?<target>.+?) in a murky haze\.
flare	natures_decay		64		damaging=0;aoe=1;spawns=0	An earthy, sweet aroma clings to (?<target>.+?) in a murky haze, accompanied by soot brown specks of leaf mold\.
flare	necromancy_flourish		65		damaging=1;aoe=1;spawns=0	\*\* A sickly green aura radiates from .+? and seeps into (?<target>.+?) wounds! \*\*
flare	parasite		66		damaging=1;aoe=1;spawns=0	A slender .+? and black tendril lashes out from .+? and slashes (?<target>.+?) .+?!
flare	physical_prowess		67		damaging=0;aoe=1;spawns=0	The vitality of nature bestows you with a burst of strength!
flare	plasma		68		damaging=1;aoe=1;spawns=0	\*\* Your .+? pulses with a burst of plasma energy(?: at (?<target>[^!]+))?! \*\*
flare	plasma		69		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? pulses with a burst of plasma energy(?: at (?<target>[^!]+))?! \*\*
flare	phosphorescence		70		damaging=1;aoe=1;spawns=0	\*\* Countless points of pale phosphorescence awaken across your .+?, rapidly brightening before bursting into brilliant light around (?<target>.+?)! \*\*
flare	phosphorescence		71		damaging=1;aoe=1;spawns=0	\*\* Countless points of pale phosphorescence awaken across (?<attacker>.+?)'s .+?, rapidly brightening before bursting into brilliant light around (?<target>.+?)! \*\*
flare	glowbright		72		damaging=0;aoe=1;spawns=0	\*\* Phosphorescent light races through the .+? as its entire surface blossoms with dazzling radiance, flooding the surroundings in ghostly light! \*\*
flare	spectral_bloom		73		damaging=1;aoe=1;spawns=0	\*\* A bloom of spectral light blossoms around (?<target>.+?), engulfing .+? in searing brilliance! \*\*
flare	psychic_assault		74		damaging=1;aoe=1;spawns=0	\*\* Your .+? unleashes a blast of psychic energy(?: at the (?<target>[^!]+))?! \*\*
flare	psychic_assault		75		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? unleashes a blast of psychic energy(?: at the (?<target>[^!]+))?! \*\*
flare	religion_flourish		76		damaging=1;aoe=1;spawns=0	\*\* Divine flames kindle around .+?, leaping forth to engulf (?<target>.+?) in a sacred inferno! \*\*
flare	rusalkan		77		damaging=0;aoe=1;spawns=0	Succumbing to the force of the tidal wave, (?<target>.+?) is thrown to the ground\.
flare	sigil_dispel		78		damaging=1;aoe=0;spawns=0	\*\* Tendrils of .+? lash out from your .+? toward (?<target>.+?) and cage .+? within bands of concentric geometry that constrict as one, shattering upon impact! \*\*
flare	sigil_dispel		79		damaging=1;aoe=0;spawns=0	\*\* Tendrils of .+? lash out from (?<attacker>.+?)'s .+? toward (?<target>.+?) and cage .+? within bands of concentric geometry
flare	sigil_dispel		80		damaging=1;aoe=0;spawns=0	\*\* A bolt of energy leaps from (?<attacker>.+?)'s .+? and sets the sigils along .+? ablaze\.  Tendrils of .+? lash out at (?<target>.+?) and cage .+? within bands of concentric geometry
flare	weapon_cast		81		damaging=0;aoe=0;spawns=0	(?:\*\* )?As (?:you attempt to strike with your|your) (?<weapon>.+?)(?: hits)?, it sends a surge of power through you that quickly leaps out at (?:the )?(?<target>[^!]+)!
flare	weapon_cast		82		damaging=0;aoe=0;spawns=0	(?:\*\* )?As you attempt to strike with your (?<weapon>.+?), you briefly feel a surge of power, but it dissipates before reaching (?:the )?(?<target>[^!.]+)
flare	sigil_cast		83		damaging=1;aoe=0;spawns=1	\*\* Numerous sigils along your .+? abruptly flare to brilliance!  .+? surges from each, twining into an echo of your last spell\.\.\. \*\*
flare	sigil_cast		84		damaging=1;aoe=0;spawns=1	\*\* Numerous sigils along (?<attacker>.+?)'s .+? abruptly flare to brilliance!  .+? surges from each, twining into an echo of .+? last spell\.\.\. \*\*
flare	sigil_cast		85		damaging=1;aoe=0;spawns=1	\*\* Spiraling sigils flare to sudden visibility along (?:your|(?<attacker>.+?)'s) .+?, pulsing forth an echo of the spell within! \*\*
flare	slashing_strikes		86		damaging=1;aoe=1;spawns=0	\*\* Your .+? finds its mark, slicing deep into (?:the )?(?<target>.+?)'s (?<location>[^!]+)! \*\*
flare	slashing_strikes		87		damaging=1;aoe=1;spawns=0	\*\* (?<attacker>.+?)'s .+? finds its mark, slicing deep into (?:the )?(?<target>.+?)'s (?<location>[^!]+)! \*\*
flare	somnis		88		damaging=0;aoe=1;spawns=0	\*\* For a split second, the striations of your .+? expand into a sinuous pearlescent mist that rushes towards the (?<target>[^,]+), enveloping .+? entirely(?: and causing .+? to collapse, fast asleep)?! \*\*
flare	somnis		89		damaging=0;aoe=1;spawns=0	\*\* For a split second, the striations of (?<attacker>.+?)'s .+? expand into a sinuous pearlescent mist that rushes towards (?<target>[^,]+), enveloping .+? entirely! \*\*
flare	sprite		90		damaging=1;aoe=1;spawns=0;markup=1	\*\* The .+? sprite on your shoulder sends forth a cylindrical, .+? blast of magic at (?<target>.+?</a>) .+?! \*\*
flare	steam		91		damaging=1;aoe=1;spawns=0	\*\* Your .+? erupts with a plume of steam! \*\*
flare	steam		92		damaging=1;aoe=1;spawns=0	\*\* Your .+? erupt with a plume of steam at the (?<target>[^!]+)! \*\*
