family	name	role	order	flags	extra	pattern
flare_mirror	xazkruvrixis		1		damaging=0;aoe=0;spawns=0;key=Xazkruvrixis	Your xazkruvrixis .*? emits an ominous black-green glow
flare_mirror	wither_lorebenefit		2		damaging=0;aoe=0;spawns=0;key=Wither_LoreBenefit	A nebulous haze shimmers into view around .*?\, plunging inward in a dizzying spiral to envelop .*? completely
flare_mirror	warding_flare		3		damaging=0;aoe=0;spawns=0;key=Warding_Flare	You hear a deafening wail as a ghostly white vapor surrounds you, swirling around your
flare_mirror	wall_of_thorns		4		damaging=0;aoe=1;spawns=0;key=WThorns640_Poison	One of the vines surrounding you lashes out at
flare_mirror	wthorns640_block		5		damaging=0;aoe=0;spawns=0;key=WThorns640_Block	The thorny barrier surrounding you blocks the attack from
flare_mirror	volnarmor_dsflare		6		damaging=0;aoe=0;spawns=0;key=VolnArmor_DSFlare	Your .*? hums with spiritual force, filling you with a sense of divine vigilance and a preternatural awareness of
flare_mirror	vialflare		7		damaging=0;aoe=0;spawns=0;key=VialFlare	spits .*? vial out and onto the ground where it lands with a crystalline \*TINKLE\*.
flare_mirror	untrammel209_lorebenefit		8		damaging=0;aoe=0;spawns=0;key=Untrammel209_LoreBenefit	you shifts abruptly, taking on an opalescent sheen that resists the web
flare_mirror	twistedarmor_augmentation		9		damaging=0;aoe=0;spawns=0;key=TwistedArmor_Augmentation	The scintillating glow emanating from .*? on your .*? shimmers and intensifies as a pulse of energy surges around you, briefly coalescing into
flare_mirror	trollheart		10		damaging=0;aoe=0;spawns=0;key=TrollHeart	The .*? inside the necklace beats madly for a second as it pumps lifegiving blood back into your bloodstream, revitalizing you with its regenerative blood
flare_mirror	tblood1125_stunbreak		11		damaging=0;aoe=0;spawns=0;key=TBlood1125_StunBreak	Though you are stunned and reeling, you become aware of your pounding heart.  With each beat, it grows louder and louder, faster and faster, until, with a sudden surge of strength, you throw off your stunned state!
flare_mirror	tblood1125_lorebenefit		12		damaging=0;aoe=0;spawns=0;key=TBlood1125_LoreBenefit	The scar on your .*? glows faintly white before fading altogether
flare_mirror	tblood1125_healing		13		damaging=0;aoe=0;spawns=0;key=TBlood1125_Healing	The bruises around your|The cuts on your .*? close and the bruises fade
flare_mirror	totemanimalistic		14		damaging=0;aoe=0;spawns=0;key=TotemAnimalistic	flows from it and over your exposed skin, imbuing a sudden rush of power from
flare_mirror	totembestial		15		damaging=0;aoe=0;spawns=0;key=TotemBestial	the semitransparent figure moving to try to shield you from the attack
flare_mirror	totemshifting		16		damaging=0;aoe=0;spawns=0;key=TotemShifting	the motes encasing your arm in incandescence as a rush of power sinks into you to strengthen your attack
flare_mirror	totemferal		17		damaging=0;aoe=0;spawns=0;key=TotemFeral	your vision briefly obscured with a bloody haze as a rush of strength surges into your limbs
flare_mirror	tome_spellwarden		18		damaging=0;aoe=0;spawns=0;key=Tome_Spellwarden	As you stare at the words, you feel the weight of tactical knowledge build in you, allowing you to better protect yourself
flare_mirror	tward503_lorebenefit		19		damaging=0;aoe=0;spawns=0;key=TWard503_LoreBenefit	The glowing specks of .*? surrounding you intensify
flare_mirror	terror_flare		20		damaging=0;aoe=0;spawns=0;key=Terror_Flare	Your .*? releases a distorted black shadow|A wave of wicked power surges forth from your
flare_mirror	treversion540		21		damaging=0;aoe=0;spawns=0;key=TReversion540	Your surroundings melt away as the air around you shivers with a large flux of mana. Abruptly, time wrenches violently to give you a second chance. This time, you're better prepared
flare_mirror	tverdict1603_zealot		22		damaging=0;aoe=0;spawns=0;key=TVerdict1603_Zealot	Your surroundings take on a violet sheen as you burn with zealous fervor
