family	name	role	order	flags	extra	pattern
damage	basic		1			\.\.\.\s*and hits? for (?<damage>\d+) points? of damage!
damage	basic		2			\.\.\.\s*(?<damage>\d+) points? of damage!
damage	basic		3			\.\.\.\s*hits for (?<damage>\d+) points? of damage!
damage	basic		4			\.\.\.\s*and receives (?<damage>\d+) points? of damage!
damage	basic		5			\.\.\.\s*and causes? (?<damage>\d+) points? of damage!
damage	basic		6			\.\.\.\s*(?<damage>\d+) points? of damage \.\.\.
damage	basic		7			pulses for an additional (?<damage>\d+) points? of damage
damage	basic		8			sears .+? for (?<damage>\d+) damage!
damage	basic		9			dissipating with a final discharge of (?<damage>\d+) points? of damage!
damage	basic		10			\.\.\.\s*(?<damage>\d+) damage!
damage	basic		11			(?<target>.+?) is hit for (?<damage>\d+) points? of damage!
damage	basic		12			(?<target>.+?) is smashed for (?<damage>\d+) points? of damage!
damage	basic		13			(?<target>.+?) suffers an additional (?<damage>\d+) damage!
damage	spell		14			Consumed by the hallowed flames, (?<target>.+?) is ravaged for (?<damage>\d+) points? of damage!
damage	spell		15			Wisps of black smoke swirl around (?<target>.+?) and it bursts into flame causing (?<damage>\d+) points? of damage!
damage	spell		16			Sound waves disrupt for (?<damage>\d+) damage!
damage	spell		17			(?<target>.+?) is cloaked in a blinding platinum light and assailed for (?<damage>\d+) points? of damage!
damage	spell		18			Ripples of cold white flame flare up around (?<target>.+?) and blister .+? for (?<damage>\d+) points? of damage!
damage	spell		19			Cloudy tendrils writhe throughout (?<target>.+?) form, ravaging .+? for (?<damage>\d+) points? of damage!
damage	spell		20			\w+ internal disruption for (?<damage>\d+) points? of damage!
damage	spell		21			(?<target>.+?) is struck by a burning projectile, taking (?<damage>\d+) points? of damage!
damage	spell		22			Blazing light, hot and blistering, coalesces around (?<target>.+?) for (?<damage>\d+) points? of damage!
damage	spell		23			The stone hand throws (?<target>.+?) and .+? goes flying through the air, then hits the ground with a loud thud\.\s+(?<damage>\d+) points? of damage!
damage	spell		24			The stone hand lets (?<target>.+?) go free for a moment, then quickly moves to slap (?:him|her|it)\.\s*(?<damage>\d+) points? of damage!
damage	spell		25			The stone hand closes its grasp around (?<target>.+?) and squeezes\.\s*(?<damage>\d+) points? of damage!
damage	spell		26			The stone hand raises (?<target>.+?) into the air and brings (?:him|her|it) down, pounding (?:him|her|it) into the (?:floor|ground)\.\s*(?<damage>\d+) points? of damage!
damage	spell		27			The (?:rocks|hailstones|hail|winds|bolts|heat) (?:pummels?|burns?|electrif(?:y|ies)|assaults?) (?<target>.+?) for (?<damage>\d+) points? of damage!
damage	environmental		28			quickly (?:arcs?|swirls?|orbits?) around (?<target>[^,]+), causing (?<damage>\d+) points? of damage!
damage	environmental		29			quickly (?:arcs?|swirls?|orbits?) (?<target>[^,]+), causing (?<damage>\d+) points? of damage!
damage	fallback		30			(?<target>.+?) for (?<damage>\d+) points? of damage[.!]
damage	fallback		31			causing (?<damage>\d+) points? of damage!
damage	fallback		32			inflicting (?<damage>\d+) points? of damage(?: in their wake)?!
damage	fallback		33			(?<target>.+?) for (?<damage>\d+) damage!
damage	fallback		34			 (?<damage>\d+) hits!
resolution	as_ds		1			AS: (?<as>[+\-\d]+) vs DS: (?<ds>[+\-\d]+) with AvD: (?<avd>[+\-\d]+) \+ (?:(?<bonus>\d+) \+ )?d\d+ roll: (?<roll>[+\-\d]+) = (?<result>[+\-\d]+)
resolution	cs_td		2			CS: (?<cs>[+\-\d]+) - TD: (?<td>[+\-\d]+) \+ CvA: (?<cva>[+\-\d]+) \+ d\d+: (?<roll>[+\-\d]+) \+ Bonus: (?<bonus>[+\-\d]+) == (?<result>[+\-\d]+)
resolution	cs_td		3			CS: (?<cs>[+\-\d]+) - TD: (?<td>[+\-\d]+) \+ CvA: (?<cva>[+\-\d]+) \+ d\d+: (?<roll>[+\-\d]+)(?: - (?<penalty>[+\-\d]+))? == (?<result>[+\-\d]+)
resolution	uaf_udf		4			UAF: (?<uaf>\d+) vs UDF: (?<udf>\d+) = (?<total>[.\d]+) \* MM: (?<mm>\d+) \+ d\d+: (?<roll>\d+) = (?<result>\d+)
resolution	smr		5			\[SMR result: (?<result>-?\d+) \(Open d100: (?<roll>[+\-\d]+)(?:, Bonus: (?<bonus>[+\-\d]+))?(?:, Penalt(?:y|ies): (?<penalty>[+\-\d]+))?\)\]
resolution	ssr		6			\[SSR result: (?<result>-?\d+) \(Open d100: (?<roll>[+\-\d]+)\)\]
resolution	activation		7			1d100: (?<roll>[+\-\d]+) \+ Modifiers: (?<mods>[+\-\d]+) == (?<result>[+\-\d]+)
resolution	maneuver_roll		8			\[Roll result: (?<result>-?\d+) \(open d100: (?<roll>-?\d+)\)(?:,? (?:Bonus: (?<bonus>-?\d+)|Penalt(?:y|ies): (?<penalty>-?\d+)))?\]
resolution	fear		9			FS: (?<fs>[+\-\d]+) - FD: (?<fd>[+\-\d]+) \+ FvP: (?<fvp>[+\-\d]+) \+ d100\(L\): (?<roll>[+\-\d]+) = (?<result>[+\-\d]+)
crit_rider	knockdown		1			Despite desperate windmilling to catch (?:his|her|its|their) balance, .+? topples
outcome	miss		1			A clean miss.
outcome	miss		2			A close miss.
outcome	miss		3			Nowhere close.
outcome	miss		4			(?<attacker>.+?)'s swing goes wide.
outcome	miss		5			The (?:arrow|bolt) streaks off into the distance.
outcome	miss		6			Though (?<target>.+?) is caught unaware, you manage to completely miss your strike.
outcome	miss		7			You make a grab for (?<target>.+?) but miss, leaving yourself open.
outcome	miss		8			You stumble slightly as you leap from hiding, revealing yourself in the process.
outcome	miss		9			You move towards (?<target>.+?) to finish your kill, but .+? thwarts your attempt.
outcome	miss		10			The shadowy barb strikes harmlessly at the ground near (?<target>[^.]+).
outcome	miss		11			A falling arrow flashes past (?<target>.+?) and shatters against the (?:ground|floor).
outcome	miss		12			An incoming arrow just misses (?<target>[^!]+).
outcome	miss		13			An arrow falls to the (?:ground|floor), narrowly missing (?<target>[^!]+).
outcome	miss		14			(?<target>.+?) moves at the last moment to avoid an incoming arrow.
outcome	miss		15			The spray of arrows leaves (?<target>.+?) unscathed and undeterred.
outcome	miss		16			The .+? (?:vine|briar) (?:lashes out at|grabs at) (?<target>.+?),? (?:but is unable to grasp|unable to find a purchase)
outcome	miss		17			Your strike misses its mark.
outcome	miss		18			(?<attacker>.+?) whacks your legs to no effect.
outcome	miss		19			You whack (?<target>.+?'s) legs futilely.
outcome	miss		20			You end up missing entirely, leaving you slightl?y off balance.
outcome	miss		21			(?<target>.+?) avoids your bash.
outcome	miss		22			(?<target>.+?) is unaffected by your futile bash.
outcome	miss		23			Your (?<weapon>.+?) flies wide, narrowly missing (?<target>[^!]+).
outcome	miss		24			The net flies past you and collapses into a useless heap.
outcome	miss		25			(?<attacker>.+?) stumbles behind you like a top out of control.
outcome	miss		26			The enormous hand attempts to grab you, but you manage to avoid it at the last moment.
outcome	miss		27			(?<attacker>.+?) completely misses you, stumbles, and flails around!
outcome	miss		28			The goopy appendage flies wide before retracting back into the central mass of
outcome	hit		29			(?:A|Good) hit!
outcome	hit		30			(?<attacker>.+?)'s angry trumpeting startles you!
outcome	hit		31			Your heart quavers in your chest and you find yourself unable to focus on defending yourself!
outcome	hit		32			(?<target>.+?) is struck by a sharp piece of \S+(?: \S+)? debris!
outcome	hit		33			One of the large, pointed slivers of \S+(?: \S+)? debris hits (?<target>[^!]+)!
outcome	hit		34			(?<target>.+?) shudders with \w+ convulsions as pearlescent ripples envelop (?:his|her|its|your) body\.
outcome	warded		35			Warded off!
outcome	ward_failed		36			Warding failed!
outcome	intercept		37			The thorny barrier surrounding (?<target>.+?) blocks your .+?!
outcome	intercept		38			The thorny barrier surrounding you blocks the attack from (?<attacker>[^!]+)!
outcome	intercept		39			The thorny barrier surrounding (?<target>.+?) blocks the attack from .+?!
outcome	intercept		40			The evanescent shield shrouding (?<target>.+?) flares to life and absorbs the (?:oncoming blow|essence of the spell, dissipating it harmlessly)\.
outcome	intercept		41			The evanescent shield shrouding you flares to life and absorbs the (?:oncoming blow|essence of the spell, dissipating it harmlessly)\.
outcome	intercept		42			The layer of bark on you hardens and absorbs the attack!
outcome	intercept		43			The layer of bark on (?<target>.+?) hardens and absorbs the attack!
outcome	intercept		44			A heavy barrier of stone momentarily forms around (?<target>.+?) and blocks the attack!
outcome	intercept		45			A complex pattern of .+? energy flashes briefly into existence between .+? and (?<target>.+?), deflecting the assault entirely\.
outcome	intercept		46			(?<attacker>.+?)'s spell is deflected by your barrier in a flash of \w+ light!
outcome	intercept		47			Your spell is deflected by the (?<target>.+?)'s barrier in a flash of \w+ light!
outcome	intercept		48			A mirror image of (?:you|.+?) shimmers into view, gaining substance just long enough to intercept the attack!
outcome	evade		49			By amazing chance, (?<target>.+?) evades the .+?!
outcome	evade		50			Lying flat on .+? back, (?<target>.+?) leans to one side and dodges the .+?!
outcome	evade		51			Nearly insensible, (?<target>.+?) desperately evades the .+?!
outcome	evade		52			Rolling hurriedly, (?<target>.+?) blocks the .+? with .+?!
