creature_id	area	uid_lo	uid_hi
agresh_bear	Grasslands	14012050	14012070
agresh_troll_chieftain	Grasslands	14012100	14012120
agresh_troll_chieftain	Grasslands	14012150	14012165
agresh_troll_scout	Grasslands	14012030	14012042
agresh_troll_warrior	Grasslands	14012010	14012022
aivren	The Rift	4568028	4568055
albino_tomb_spider	The Graveyard	2162113	2162122
algae_draped_merrow_oracle	Sailor's Grief	7150701	7150733
amaranthine_kraken_tentacle	Sailor's Grief	7150501	7150535
amaranthine_kraken_tentacle	Sailor's Grief	7150701	7150719
ancient_ghoul_master	The Graveyard	18029	18035
ancient_ghoul_master	The Graveyard	18070	18070
animated_slush	Gossamer Valley	13023013	13023054
animated_slush	Gossamer Valley	13023076	13023076
arachne_acolyte	Spider Temple	13010	13030
arachne_priest	Spider Temple	13001	13036
arachne_servant	Lower Trollfang	12016	12045
arch_wight	Castle Anwyn	4285023	4285023
arch_wight	Castle Anwyn	4285030	4285030
arch_wight	Castle Anwyn	4285051	4285057
arch_wight	Castle Anwyn	4285100	4285103
arch_wight	Plains of Bone	14011023	14011041
arch_wight	The Graveyard	18101	18110
arch_wight	The Graveyard	18200	18209
arch_wight	The Graveyard	2162113	2162122
arch_wight	Abbey	4132101	4132118
arctic_manticore	Ice Plains	4127005	4127045
arctic_puma	Abbey	4132001	4132010
arctic_titan	Glatoph	2153002	2153031
arctic_titan	Icemule Trail	4044134	4044139
arctic_wolverine	Pinefar Forests	4563008	4563020
arctic_wolverine	Sleeping Lady Mountains	4565016	4565037
ash_guardian	Volcanic Flats	3023107	3023123
ash_hag	Volcanic Flats	3023001	3023028
ashen_patrician_vampire	Moonsedge	4577106	4577123
ashen_patrician_vampire	Moonsedge	4577201	4577214
ashen_patrician_vampire	Moonsedge	4577216	4577249
athletic_dark_eyed_incubus	Abbey	4132201	4132240
athletic_dark_eyed_incubus	Abbey	4132243	4132248
baesrukha	Yegharren Plains	13036401	13036414
baesrukha	Yegharren Plains	13036501	13036514
banded_rattlesnake	Emerald Forest	13301170	13301191
banded_rattlesnake	Emerald Forest	13301201	13301232
banded_rattlesnake	Emerald Forest	13301301	13301335
banshee	Darkstone Castle	42001	42016
banshee	Darkstone Castle	44001	44006
banshee	Darkstone Castle	44033	44036
banshee	Darkstone Castle	44046	44051
banshee	Fhorian Village	3030256	3030268
barbed_cavern_urchin	Hornwort Cavern	7131001	7131018
barghest	Yegharren Plains	13036201	13036217
barghest	Yegharren Plains	13036301	13036310
barghest	Yegharren Plains	13036401	13036414
behemothic_gorefrost_golem	Hinterwilds	7503101	7503146
bent_being	Old Ta'Faendryl	17003011	17003038
bent_being	Old Ta'Faendryl	17003101	17003150
bent_being	Old Ta'Faendryl	17003201	17003217
big_ugly_kobold	Lower Dragonsclaw	373005	373016
bighorn_sheep	Emerald Forest	13301170	13301191
bighorn_sheep	Emerald Forest	13301201	13301232
black_bear	Neartofar Forest	14015101	14015118
black_bear	Lysierian Hills	92002	92018
black_bear	Slope	395002	395015
black_boar	Neartofar Forest	14015101	14015118
black_forest_ogre	Blighted Forest	13020001	13020051
black_forest_ogre	Blighted Forest	13020100	13020114
black_forest_ogre	Aradhul Road	17005003	17005006
black_forest_ogre	Aradhul Road	17005015	17005023
black_forest_ogre	Aradhul Road	17005027	17005035
black_forest_viper	Blighted Forest	13020001	13020051
black_forest_viper	Blighted Forest	13020100	13020114
black_leopard	Grasslands	14012050	14012070
black_leopard	Grasslands	14012150	14012165
black_rolton	Yander's Farm	14005002	14005019
black_winged_daggerbeak	Holdings of Vornavis	2130100	2130123
blackened_decaying_tumbleweed	Abandoned Farm	4124050	4124062
blazing_red_phoenix	Volcanic Flats	3023107	3023123
bloated_kiramon_broodtender	The Hive	13041301	13041329
blood_eagle	The Citadel	2102022	2102049
blood_eagle	South River Road	2104010	2104016
bloody_halfling_cannibal	Hinterwilds	7503101	7503146
blubbery_humpbacked_merrow	Sailor's Grief	7150501	7150535
blubbery_humpbacked_merrow	Sailor's Grief	7150701	7150733
bobcat	The Toadwort	14007024	14007041
bog_spectre	Fethayl Bog	13038001	13038031
bog_troll	Miasmal Forest	5003001	5003027
bog_troll	Miasmal Forest	5003030	5003030
bog_troll	Miasmal Forest	5003032	5003032
bog_troll	Miasmal Forest	5003036	5003050
bog_troll	Miasmal Forest	5004001	5004034
bog_wight	Fethayl Bog	13038001	13038031
bog_wraith	Miasmal Forest	5003021	5003027
bog_wraith	Miasmal Forest	5003030	5003030
bog_wraith	Miasmal Forest	5003032	5003032
bog_wraith	Miasmal Forest	5003036	5003050
bone_golem	Plains of Bone	14011001	14011022
bone_golem	The Citadel	2102001	2102006
bone_golem	The Citadel	2102059	2102069
bone_golem	Upper Trollfang	14070	14079
bony_tenthsworn_occultist	Crawling Shore	4576101	4576126
bony_tenthsworn_occultist	Crawling Shore	4576151	4576160
brackish_bilge_mass	Sailor's Grief	7150501	7150535
brawny_gigas_shield-maiden	Hinterwilds	7503301	7503312
brawny_gigas_shield-maiden	Hinterwilds	7503321	7503332
brawny_gigas_shield-maiden	Hinterwilds	7503341	7503353
brawny_gigas_shield-maiden	Hinterwilds	7503361	7503366
brawny_gigas_shield-maiden	Hinterwilds	7503371	7503374
brawny_gigas_shield-maiden	Hinterwilds	7503381	7503384
bresnahanini_rolton	Outlands	4215701	4215716
bristly_black_tapir	Cloud Forest	3219001	3219038
brown_boar	Neartofar Forest	14015101	14015118
brown_gak	Yander's Farm	14005002	14005019
brown_spinner	The Citadel	2102022	2102049
burly_reiver	Luinne Bheinn	4251110	4251111
cadaverous_tatterdemalion_ghast	Moonsedge	4577001	4577028
