creature_id	category	name	as	as_raw	cs	cs_raw	note	type
agresh_bear	physical	Claw	144..179					
agresh_bear	physical	Bite	174					
agresh_troll_chieftain	physical	Flail	247					
agresh_troll_chieftain	physical	Military pick	227					
agresh_troll_chieftain	maneuver	+40 AS boost						
agresh_troll_chieftain	maneuver	Pounce						
agresh_troll_scout	physical	War hammer	171					
agresh_troll_scout	physical	Ensnare						
agresh_troll_scout	physical	Pound						
agresh_troll_scout	physical	Stomp						
agresh_troll_warrior	physical	War hammer	165					
agresh_troll_warrior	physical	Fist	115					
aivren	physical	Bite (attack)	398					
aivren	physical	Claw (attack)	378					
aivren	physical	Bite	403					
aivren	physical	Massive beak	358					
aivren	physical	Razor-sharp claw	410					
aivren	physical	Swoop	410					
aivren	maneuver	Wing Buffet						
albino_tomb_spider	physical	Claw	106..116					
albino_tomb_spider	physical	Pincer (attack)	116					
albino_tomb_spider	physical	Pincer	116					
albino_tomb_spider	maneuver	Web						
albino_tomb_spider	special_ability	Web						
algae_draped_merrow_oracle	maneuver	Lash						
ancient_ghoul_master	physical	Battle axe	147					
ancient_ghoul_master	warding_spell	Torment (718)			127			
ancient_ghoul_master	maneuver	Gas cloud						
ancient_ghoul_master	maneuver	Gesture						
animated_slush	physical	Pound						
animated_slush	physical	Icy appendage	263..267					
animated_slush	physical	Stream of water	243					
animated_slush	bolt_spell	Minor Water (903)	291					
animated_slush	warding_spell	Torment (718)			127			
animated_slush	maneuver	Elemental Wave (410)						
animated_slush	maneuver	Major Elemental Wave						
animated_slush	maneuver	Slush wall						
animated_slush	maneuver	Tail Swipe						
animated_slush	maneuver	Ethereal Wave						
arachne_acolyte	physical	War hammer	161					
arachne_acolyte	warding_spell	Frenzy (216)			118			
arachne_acolyte	warding_spell	Web (118)			118			
arachne_acolyte	offensive_spell	Spirit Strike (117)						
arachne_acolyte	maneuver	Disarm						
arachne_acolyte	maneuver	Tackle						
arachne_acolyte	maneuver	Pounce						
arachne_priest	physical	Broadsword	219					
arachne_priest	physical	Scimitar	294					
arachne_priest	physical	Short sword	266					
arachne_priest	warding_spell	Web (118)			118			
arachne_priest	offensive_spell	Spirit Strike (117)						
arachne_priest	offensive_spell	Heroism (215)						
arachne_priest	offensive_spell	Benediction (307)						
arachne_priest	maneuver	Point						
arachne_servant	physical	Morning star	150..190					
arch_wight	physical	Scimitar	144..156					
arch_wight	physical	Claw	136					
arch_wight	physical	Twohanded sword	150					
arch_wight	warding_spell	Mind Jolt (706)			123			
arch_wight	warding_spell	Empathy (1108)						
arch_wight	warding_spell	Scimitar			129			
arch_wight	warding_spell	Twohanded sword			117			
arch_wight	offensive_spell	Earthen Fury (917)						
arch_wight	offensive_spell	Gas cloud						
arch_wight	maneuver	Gesture						
arch_wight	maneuver	Web						
arctic_manticore	physical	Bite	194					
arctic_manticore	physical	Claw	194					
arctic_puma	physical	Claw	168					
arctic_puma	physical	Bite	168					
arctic_puma	maneuver	Pounce						
arctic_titan	physical	Handaxe	262					
arctic_titan	physical	Closed fist	242					
arctic_titan	physical	Stomp (attack)	232					
arctic_titan	bolt_spell	Major Shock (910)	185					
arctic_titan	warding_spell	Weapon Fire (915)			184			
arctic_titan	maneuver	Stomp						
arctic_titan	maneuver	Ground Slam						
arctic_wolverine	physical	Bite	155..194					
arctic_wolverine	physical	Claw	184..204					
arctic_wolverine	physical	(quarantine-recovered)	238					
ash_guardian	physical	Falchion	402					
ash_guardian	physical	Ensnare	346					
ash_guardian	physical	Jagged shard of obsidian	406					
ash_guardian	physical	Sharp beak	295					
ash_guardian	physical	Beak	375					
ash_guardian	maneuver	Feint						
ash_guardian	maneuver	Dirtkick						
ash_guardian	maneuver	Shield Bash						
ash_guardian	maneuver	Dust Kick						
ash_hag	physical	Slap	210					
ash_hag	physical	Bite (attack)	180					
ash_hag	bolt_spell	Minor Fire (906)	200					
ash_hag	warding_spell	Immolation (519)			183			
ash_hag	offensive_spell	Elemental Wave (410)						
ash_hag	offensive_spell	Fire Storm						
ashen_patrician_vampire	physical	Rapier		566 to				
ashen_patrician_vampire	physical	Charge	530					
ashen_patrician_vampire	warding_spell	Blind			455			
ashen_patrician_vampire	maneuver	Disarm Weapon						
ashen_patrician_vampire	maneuver	Feint						
ashen_patrician_vampire	maneuver	Pounce						
ashen_patrician_vampire	special_ability	Mstrike						
ashen_patrician_vampire	special_ability	Cripple						
athletic_dark_eyed_incubus	physical	Ensnare		(lunge) 245-276				
athletic_dark_eyed_incubus	warding_spell	Song of Depression (1015)			300			
athletic_dark_eyed_incubus	warding_spell	Repel (Fear)						
athletic_dark_eyed_incubus	offensive_spell	Earthen Fury (917)						
athletic_dark_eyed_incubus	maneuver	Spellsong						
baesrukha	physical	Claw	247..273					
baesrukha	physical	Bite	187..262					
baesrukha	physical	Roaring ball of fire	220					
baesrukha	bolt_spell	Major Fire (908)	220					
baesrukha	warding_spell	Cold Snap (512)						
baesrukha	warding_spell	Elemental Blast (409)			212			
banded_rattlesnake	physical	Bite	182					
banded_rattlesnake	physical	(quarantine-recovered)	163					
banded_rattlesnake	special_ability	Coil Strike						
bandit	maneuver	Cheapshots						
bandit	maneuver	Cutthroat						
bandit	maneuver	Feint						
bandit	maneuver	Shield Bash						
bandit	maneuver	Subdual Strike						
bandit	maneuver	Sweep						
banshee	physical	Claw (attack)	275					
banshee	physical	Claw	265..275					
banshee	warding_spell	Scream			230			
banshee	warding_spell	Claw			230			
barbed_cavern_urchin	physical	Barbed spines	176					
barbed_cavern_urchin	maneuver	Spine Barrage						
barghest	physical	Charge (attack)	229					
barghest	physical	Bite	197..234					
barghest	physical	Charge	206..214					
battle_worn_empyrean_captain	bolt_spell	???		???				
battle_worn_empyrean_captain	warding_spell	???				???		
battle_worn_empyrean_captain	offensive_spell	???						
battle_worn_empyrean_captain	maneuver	Eviscerate						
battle_worn_empyrean_captain	maneuver	Garrote						
battle_worn_empyrean_captain	maneuver	Coup de Grace						
battle_worn_empyrean_captain	maneuver	Cheapshot						
battle_worn_empyrean_captain	maneuver	Slippery Mind						
battle_worn_empyrean_captain	maneuver	Spell Thieve						
battle_worn_empyrean_captain	special_ability	Telekinetic Choke						
battle_worn_empyrean_captain	special_ability	Aura Shift						
behemothic_gorefrost_golem	physical	closed fist	480..500					
behemothic_gorefrost_golem	physical	pound	445					
behemothic_gorefrost_golem	physical	stomp	495..505					
behemothic_gorefrost_golem	physical	Colossal fist of ice	502..527					
behemothic_gorefrost_golem	physical	Charge	529					
behemothic_gorefrost_golem	physical	Clawed fists	475					
behemothic_gorefrost_golem	physical	Huge hooves	521					
behemothic_gorefrost_golem	physical	Tusks	519					
behemothic_gorefrost_golem	bolt_spell	minor cold (1709)	410					
behemothic_gorefrost_golem	warding_spell	cold snap (512)			444			
behemothic_gorefrost_golem	offensive_spell	major elemental wave (435)						
behemothic_gorefrost_golem	maneuver	haymaker						
behemothic_gorefrost_golem	maneuver	headbutt						
behemothic_gorefrost_golem	maneuver	heat leaching						
behemothic_gorefrost_golem	maneuver	colossal fist						
behemothic_gorefrost_golem	maneuver	Charge						
behemothic_gorefrost_golem	special_ability	topple						falls on you and ruins your day
bent_being	physical	Stomp	386					
bent_being	physical	Claw	356					
bent_being	physical	Foot	386					
bent_being	bolt_spell	Major Shock (910)	374					
big_ugly_kobold	physical	Short sword	55					
big_ugly_kobold	physical	Unknown	62					
bighorn_sheep	physical	Impale	168..183					
black_bear	physical	Bite (attack)	180					
black_bear	physical	Claw (attack)	190					
black_bear	physical	Charge (attack)	190					
black_bear	physical	Bite	150					
black_bear	physical	Claw	171					
black_bear	special_ability	Pounce						
black_boar	physical	Bite	153..171					
black_boar	physical	Charge (attack)	181					
black_boar	maneuver	Charge						
black_boar	special_ability	Charge						
black_forest_ogre	physical	DharaDhara (Rogues)	340					
black_forest_ogre	physical	Closed fistClosed fist (Wizards)	294					
black_forest_ogre	physical	Closed fist	273					
