creature_id	list	name	note
agresh_bear	otherclass	Living	
agresh_troll_chieftain	otherclass	Living	
agresh_troll_chieftain	equipment	a flail	
agresh_troll_chieftain	equipment	a leather helm	
agresh_troll_chieftain	equipment	a military pick	
agresh_troll_chieftain	equipment	a visored helm	
agresh_troll_chieftain	equipment	an augmented breastplate	
agresh_troll_chieftain	equipment	some brigandine armor	
agresh_troll_chieftain	defensive_spells	Spirit Warding II (107)	
agresh_troll_chieftain	treasure_other	Glimmering blue essence shardGlimmering blue mote of essence	
agresh_troll_scout	otherclass	Living	
agresh_troll_scout	equipment	a war hammer	
agresh_troll_scout	equipment	a wooden shield	
agresh_troll_scout	equipment	some light leather	
agresh_troll_scout	defensive_spells	Spirit Warding II (107)	
agresh_troll_warrior	otherclass	Living	
agresh_troll_warrior	equipment	a chain hauberk	
agresh_troll_warrior	equipment	a war hammer	
agresh_troll_warrior	equipment	a wooden shield	
agresh_troll_warrior	defensive_spells	Spirit Warding II (107)	
aivren	otherclass	Living	
aivren	otherclass	Boss	
albino_tomb_spider	otherclass	Living	
algae_draped_merrow_oracle	defensive_spells	Wizard's Shield (919)	
algae_draped_merrow_oracle	special_defenses	-->	
ancient_ghoul_master	otherclass	Corporeal undead	
ancient_ghoul_master	equipment	a blackened battle axe	
ancient_ghoul_master	equipment	some blackened platemail	
animated_slush	otherclass	Magical	
animated_slush	treasure_other	Gold Dust	
animated_slush	treasure_other	essence of water	
arachne_acolyte	otherclass	Living	
arachne_acolyte	equipment	a chain hauberk	
arachne_acolyte	equipment	a war hammer	
arachne_acolyte	equipment	a wooden shield	
arachne_acolyte	defensive_spells	Spirit Warding I (101)	
arachne_acolyte	defensive_spells	Spirit Defense (103)	
arachne_acolyte	defensive_spells	Spirit Warding II (107)	
arachne_acolyte	defensive_spells	Spirit Fog (106)	
arachne_acolyte	treasure_other	glimmering blue essence shard	
arachne_priest	otherclass	Living	
arachne_priest	equipment	a reinforced shield	
arachne_priest	equipment	a scimitar	
arachne_priest	equipment	a short sword	
arachne_priest	defensive_spells	Spirit Warding II (107)	
arachne_priest	defensive_spells	Spell Shield (219)	
arachne_priest	defensive_spells	Prayer of Protection (303)	
arachne_priest	defensive_spells	Warding Sphere (310)	
arachne_priest	defensive_spells	Prayer (313)	
arachne_priest	treasure_other	Glimmering blue essence shard	
arachne_servant	otherclass	Living	
arachne_servant	equipment	a morning star	
arachne_servant	equipment	a reinforced shield	
arachne_servant	equipment	a visored helm	
