type	location	rank	damage	position	fatal	stunned	amputated	crippled	sleeping	dazed	limb_favored	roundtime	silenced	slowed	wound_rank	secondary_location	secondary_wound_rank	pattern
acid	head	0	0		0	0	0	0	0	0	0	0	0	0	0			^Too bad .*? ducked.
acid	head	1	5		0	0	0	0	0	0	0	0	0	0	1			^Acid splatters on .*? cheek leaving a bright red burn.
acid	head	2	10		0	1	0	0	0	0	0	0	0	0	1			^Acid burn on the right ear.
acid	head	3	15		0	3	0	0	0	0	0	0	0	0	2			^Burn to cheek.
acid	head	4	20		0	5	0	0	0	0	0	0	0	0	2			^Acid wash cleans the skin off part of the nose and cheek.
acid	head	5	25		0	8	0	0	0	0	0	0	0	0	3			^Right in the face.
acid	head	6	30		1	0	0	0	0	0	0	0	0	0	3			^Large swig of acid enters mouth.
acid	head	7	35		1	0	0	0	0	0	0	0	0	0	3			^Acid splash isn't stopped by skull, fries brain.
acid	head	8	40		1	0	0	0	0	0	0	0	0	0	3			^Acid dissolves the head into a barely recognizable lump.
acid	head	9	50		1	0	0	0	0	0	0	0	0	0	3			^Blast of acid washes .*? head off clean.
acid	neck	0	0		0	0	0	0	0	0	0	0	0	0	0			^Too bad .*? ducked.
acid	neck	1	2		0	0	0	0	0	0	0	0	0	0	1			^Acid catches the side of .*? neck and drips down in a steaming trail.
acid	neck	2	5		0	1	0	0	0	0	0	0	0	0	1			^Acid causes a painful burn on the neck, inflaming the skin.
acid	neck	3	10		0	2	0	0	0	0	0	0	0	0	2			^Nasty burn eats the skin away from the spine.
acid	neck	4	12		0	4	0	0	0	0	0	0	0	0	2			^Bad burn eats at skin under the chin.
acid	neck	5	15		0	6	0	0	0	0	0	0	0	0	3			^Acid dissolves the skin on the neck exposing the windpipe.
acid	neck	6	20		1	0	0	0	0	0	0	0	0	0	3			^Dissolved larynx opens windpipe.  Unfortunately it quickly fills with blood.
acid	neck	7	30		1	0	0	0	0	0	0	0	0	0	3			^Burn exposes the spine \(from the front\).
acid	neck	8	35		1	0	0	0	0	0	0	0	0	0	3			^Acid burns a hole in the neck causing a fatal fluid leak.
acid	neck	9	40		1	0	0	0	0	0	0	0	0	0	3			^Acid bolt removes the neck giving the head no place to go but down.
acid	left_eye	0	0		0	0	0	0	0	0	0	0	0	0	0			^Soap in the eye would hurt .*? worse.
acid	left_eye	1	1		0	0	0	0	0	0	0	0	0	0	1			^Drop of acid gets in .*? eye.  Better flush it out.
acid	left_eye	2	5		0	1	0	0	0	0	0	0	0	0	1			^Acid splash near the eye causes blisters that almost swell it shut.
acid	left_eye	3	10		0	3	0	0	0	0	0	0	0	0	2			^Acid gets in eye.  An unscheduled flush.
acid	left_eye	4	15		0	5	0	0	0	0	0	0	0	0	2			^A gob of acid blinds .*? in the left eye.
acid	left_eye	5	20		0	7	0	0	0	0	0	0	0	0	3			^Hit to eye empties the socket.  How can something missing be so painful.
acid	left_eye	6	30		1	0	0	0	0	0	0	0	0	0	3	head	3	^Acid hits the triton assassin full in the eye.  Nothing left but a smoking socket.
acid	left_eye	7	40		1	0	0	0	0	0	0	0	0	0	3	head	3	^Acid turns .*? left eye to mush, and then erodes the brain.
acid	left_eye	8	45		1	0	0	0	0	0	0	0	0	0	3	head	3	^A blast of acid bores right through eyesocket and into the brain.
acid	left_eye	9	50		1	0	0	0	0	0	0	0	0	0	3	head	3	^Acid Flush!  The .*? brains get washed right out the mouth.
acid	right_eye	4	15		0	5	0	0	0	0	0	0	0	0	2			^A gob of acid blinds .*? in the right eye.
