# Generated by tools/extract_herbs.rb from eherbs.lic's known_herbs.
# Do not hand-edit: re-run the tool.
# source	reference/scripts/scripts/eherbs.lic
# source-commit	7fd0b97 2026-09-17
# source-version	2.2.1
# herbs	247
name	short_name	type	store_doses	locations
some acantha leaf	some acantha leaf	blood	10	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some wolifrew lichen	some wolifrew lichen	minor nerve wound	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
bolmara potion	bolmara potion	major nerve wound	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some woth flower	some woth flower	major nerve scar	2	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some torban leaf	some torban leaf	minor nerve scar	3	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some ambrominas leaf	some ambrominas leaf	minor limb wound	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some ephlox moss	some ephlox moss	major limb wound	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some cactacae spine	some cactacae spine	minor limb scar	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some calamia fruit	some calamia fruit	major limb scar	2	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
rose-marrow potion	rose-marrow potion	minor head wound	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim
some aloeas stem	some aloeas stem	major head wound	2	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some haphip root	some haphip root	minor head scar	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
brostheras potion	brostheras potion	major head scar	2	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some basal moss	some basal moss	minor organ wound	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some pothinir grass	some pothinir grass	major organ wound	2	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
talneo potion	talneo potion	minor organ scar	4	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
wingstem potion	wingstem potion	major organ scar	2	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
bur-clover potion	bur-clover potion	missing eye	1	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
some sovyn clove	some sovyn clove	severed limb	1	the town of Wehnimer's Landing|the free port of Solhaven|the Northern Caravansary|Ta'Illistim|the town of River's Rest
bunch of acantha leaf	bunch of acantha leaf	blood	50	Do Not Buy
bunch of wolifrew lichen	bunch of wolifrew lichen	minor nerve wound	50	Do Not Buy
large bolmara potion	large bolmara potion	major nerve wound	7	Do Not Buy
bunch of woth flower	bunch of woth flower	major nerve scar	50	Do Not Buy
bunch of torban leaf	bunch of torban leaf	minor nerve scar	50	Do Not Buy
bunch of ambrominas leaf	bunch of ambrominas leaf	minor limb wound	50	Do Not Buy
bunch of ephlox moss	bunch of ephlox moss	major limb wound	50	Do Not Buy
bunch of cactacae spine	bunch of cactacae spine	minor limb scar	50	Do Not Buy
bunch of calamia fruit	bunch of calamia fruit	major limb scar	50	Do Not Buy
large rose-marrow potion	large rose-marrow potion	minor head wound	7	Do Not Buy
bunch of aloeas stem	bunch of aloeas stem	major head wound	50	Do Not Buy
bunch of haphip root	bunch of haphip root	minor head scar	50	Do Not Buy
large brostheras potion	large brostheras potion	major head scar	7	Do Not Buy
bunch of basal moss	bunch of basal moss	minor organ wound	50	Do Not Buy
bunch of pothinir grass	bunch of pothinir grass	major organ wound	50	Do Not Buy
large talneo potion	large large talneo potion	minor organ scar	7	Do Not Buy
large wingstem potion	large wingstem potion	major organ scar	7	Do Not Buy
large bur-clover potion	large bur-clover potion	missing eye	7	Do Not Buy
