coord	label	command	category
2524,1541	ambush @	ambush #	6
2524,1542	appraise @	appraise #	1
2524,1543	attack @	attack #	6
2524,1544	batter @	batter #	3
2524,1545	beam @	beam #	5_roleplay
2524,1546	clear from befriend list	befriend clear #	7_befriend
2524,1547	find @	befriend find #	7_befriend
2524,1548	befriend @ cold	befriend # cold	7_befriend
2524,1549	befriend @ friendly	befriend # friendly	7_befriend
2524,1550	befriend @ neutral	befriend # neutral	7_befriend
2524,1551	befriend @ reserved	befriend # reserved	7_befriend
2524,1552	befriend @ warm	befriend # warm	7_befriend
2524,1553	bless spell into @	_dialog # bless 1	3_bless
2524,1554	Common Pool Deity Bless @	_dialog # bless 2	3_bless
2524,1555	bounce @	bounce #	5_roleplay
2524,1556	bow @	bow #	5_roleplay
2524,1557	bundle	bundle	10
2524,1558	unbundle	bundle remove	10
2524,1559	buy	buy	2
2524,1560	cast @	cast #	6
2524,1561	initiate challenge	_dialog # challen	9_challenge
2524,1562	beg merciful end to challenge	challenge # mercy	9_challenge
2524,1563	request end to challenge	challenge # stop	9_challenge
2524,1564	cheapshot eyepoke @	cheapshot eyepoke #	6_cheapshot
2524,1565	cheapshot footstomp @	cheapshot footstomp #	6_cheapshot
2524,1566	cheapshot kneebash @	cheapshot kneebash #	6_cheapshot
2524,1567	cheapshot nosetweak @	cheapshot nosetweak #	6_cheapshot
2524,1568	cheapshot swiftkick @	cheapshot swiftkick #	6_cheapshot
2524,1569	cheapshot templeshot @	cheapshot templeshot #	6_cheapshot
2524,1570	cheapshot throatchop @	cheapshot throatchop #	6_cheapshot
2524,1571	chuckle @	chuckle #	5_roleplay
2524,1572	climb @	climb #	4
2524,1573	close @	close #	3
2524,1574	curtsy @	curtsy #	5_roleplay
2524,1575	check demeanor @	demeanor #	7_befriend
2524,1576	describe @	describe #	1
2524,1577	disarm @	disarm #	3
2524,1578	start dragging @	drag #	4
2524,1579	drink @	drink #	3
2524,1580	drool @	drool #	5_roleplay
2524,1581	drop @	drop #	2
2524,1582	eat @	eat #	3
2524,1583	encumbrance @	encumbrance #	1
2524,1584	exchange % with @	_dialog # exchange left	8
2524,1585	exchange % with @	_dialog # exchange right	8
2524,1586	fire @	fire #	6
2524,1587	flirt @	flirt #	5_roleplay
2524,1588	frown @	frown #	5_roleplay
2524,1589	gaze @	gaze #	5_roleplay
2524,1590	get @	get #	2
2524,1591	giggle at @	giggle #	5_roleplay
2524,1592	give % to @	give # left	8
2524,1593	give % to @	give # right	8
2524,1594	give silvers to @	_dialog # give	8
2524,1595	glance @	glance #	5_roleplay
2524,1596	go @	go #	4
2524,1597	greet @	greet #	5_roleplay
2524,1598	grin @	grin #	5_roleplay
2524,1599	grumble @	grumble #	5_roleplay
2524,1600	hold hands with @	hold #	7
2524,1601	home guest @	home guest #	7
2524,1602	hug @	hug #	5_roleplay
2524,1603	hum @	hum #	5_roleplay
2524,1604	hurl % at @	hurl #	6
2524,1605	imbed spell into @	_dialog # imbed	3
2524,1606	inspect @	inspect #	1
2524,1607	inspect @	inspect % #	1
2524,1608	join @	join #	7
2524,1609	laugh at @	laugh at #	5_roleplay
2524,1610	lean @	lean #	5_roleplay
2524,1611	leave @	leave #	7
2524,1612	light @	light #	3
2524,1613	look at @	look #	1
2524,1614	look behind @	look behind #	1
2524,1615	look in @	look in #	1
2524,1616	look on @	look on #	1
2524,1617	look under @	look under #	1
2524,1618	measure @	measure #	1
2524,1619	mock @	mock #	5_roleplay
2524,1620	multistrike (melee)	mstrike attack #	6_focused multistrike
2524,1621	multistrike tricks	mstrike #	5_roleplay
2524,1622	nod @	nod #	5_roleplay
2524,1623	open @	open #	3
2524,1624	peer @	peer #	5_roleplay
2524,1625	pick @ with %	pickloc # with left	3
2524,1626	pick @ with %	pickloc # with right	3
2524,1627	play @	play #	3_play
2524,1628	play @ aimlessly	play # aimless	3_play
2524,1629	play @ fast	play # fast	3_play
2524,1630	play @ flamboyantly	play # flamboyant	3_play
2524,1631	play @ inspiringly	play # inspiring	3_play
2524,1632	play @ intensely	play # intense	3_play
2524,1633	play @ jauntily	play # jaunty	3_play
2524,1634	play @ joyfully	play # joyful	3_play
2524,1635	play @ mournfully	play # mournful	3_play
2524,1636	play @ slow	play # slow	3_play
2524,1637	play @ softly	play # soft	3_play
2524,1638	play @ somberly	play # somber	3_play
2524,1639	point @	point #	5_roleplay
2524,1640	pour @	pour #	3
2524,1641	pull @	pull #	5_roleplay
2524,1642	put % behind @	put left behind #	2_put
2524,1643	put % in @	put left in #	2_put
2524,1644	put % on @	put left on #	2_put
2524,1645	put % under @	put left under #	2_put
2524,1646	put % behind @	put right behind #	2_put
2524,1647	put % in @	put right in #	2_put
2524,1648	put % on @	put right on @	2_put
2524,1649	put % under @	put right under #	2_put
2524,1650	puzzle over @	puzzle #	5_roleplay
2524,1651	read @	read #	1
2524,1652	remove @	remove #	2
2524,1653	rest @	rest #	5_roleplay
2524,1654	rub @	rub #	5_roleplay
2524,1655	sacrifice @	sacrifice #	6
2524,1656	scowl @	scowl #	5_roleplay
2524,1657	search @	search #	1
2524,1658	sell @	sell #	2
2524,1659	send mana	_dialog # send	8
2524,1660	shake hands with @	shake hands with #	5_roleplay
2524,1661	shake head at @	shake head at #	5_roleplay
2524,1662	sheathe @	sheathe @	2
2524,1663	sing @	sing #	6
2524,1664	skin @ using left	skin # left	10
2524,1665	skin @ using right	skin # right	10
2524,1666	smooch @	smooch #	5_roleplay
2524,1667	sneak @	sneak #	4
2524,1668	snuggle with @	snuggle #	5_roleplay
2524,1669	squint @	squint #	5_roleplay
2524,1670	stare @	stare #	5_roleplay
2524,1671	stow @	stow #	2
2524,1672	stow %	stow left	2
2524,1673	stow %	stow right	2
2524,1674	set as default container	stow set #	1
2524,1675	stun maneuver attack @	stunman attack @	6_stunned maneuvers
2524,1676	subdue @	subdue #	6
2524,1677	swear @	swear #	5_roleplay-swear
2524,1678	cast aspersions at @	swear # aspersion	5_roleplay-swear
2524,1679	swear under breath at @	swear # breath	5_roleplay-swear
2524,1680	swear at ancestors of @	swear # curse	5_roleplay-swear
2524,1681	swear at @ eloquently	swear # eloquent	5_roleplay-swear
2524,1682	swear at @ flamingly	swear # flame	5_roleplay-swear
2524,1683	swear at @ fluid	swear # fluid	5_roleplay-swear
2524,1684	swear at @ indignantly	swear # indignant	5_roleplay-swear
2524,1685	swear at @ loudly	swear # loud	5_roleplay-swear
2524,1686	swear at @ lyrically	swear # lyric	5_roleplay-swear
2524,1687	swear guttural oaths at @	swear # oath	5_roleplay-swear
2524,1688	swear about shoddy workmanship	swear # shoddy	5_roleplay-swear
2524,1689	hurl vitriolic oaths at @	swear # spasm	5_roleplay-swear
2524,1690	swear at @ darkly	swear # spite	5_roleplay-swear
2524,1691	swear at @ with spittle	swear # spittle	5_roleplay-swear
2524,1692	swear at @ thornily	swear # thorn	5_roleplay-swear
2524,1693	swear at @ vehemently	swear # tree	5_roleplay-swear
2524,1694	swear at @ unheard	swear # unheard	5_roleplay-swear
2524,1695	swear at @ vilely	swear # vile	5_roleplay-swear
2524,1696	sweep @	sweep #	6
2524,1697	swim @	swim #	4
2524,1698	symbol of blessing @	symbol of blessing #	3
2524,1699	symbol of holiness @	symbol of holiness #	6_voln
2524,1700	symbol of preservation @	symbol of preservation #	6_voln
2524,1701	symbol of retribution @	symbol of retribution #	6_voln
2524,1702	symbol of submission @	symbol of submission #	6_voln
2524,1703	tackle @	tackle #	6
2524,1704	tap @	tap #	5_roleplay
2524,1705	target @	target #	6
2524,1706	clear current target	target clear	6
2524,1707	tell @	tell @	1
2524,1708	tell eye to go @	tell eye to go #	3_tell
2524,1709	tell eye to inspect @	tell eye to inspect #	3_tell
2524,1710	tell eye to look at @	tell eye to look at #	3_tell
2524,1711	tell eye to look behind @	tell eye to look behind #	3_tell
2524,1712	tell eye to look in @	tell eye to look in #	3_tell
2524,1713	tell eye to look on @	tell eye to look on #	3_tell
2524,1714	tell eye to look under @	tell eye to look under #	3_tell
2524,1715	tell eye to read @	tell eye to read #	3_tell
2524,1716	tell familiar to drop @	tell familiar to drop #	3_tell
2524,1717	tell familiar to get @	tell familiar to get #	3_tell
2524,1718	tell familiar to go @	tell familiar to go #	4
2524,1719	think to @	_dialog # think	9
2524,1720	toss @	toss #	5_roleplay
2524,1721	touch @	touch #	5_roleplay
2524,1722	trip @	trip #	6
2524,1723	turn @	turn #	3
2524,1724	kick @	kick #	6_voln
2524,1725	punch @	punch #	6_voln
2524,1726	throw @	throw #	6_voln
2524,1727	warcry bellow @	warcry bellow #	6_warcry
2524,1728	warcry cry @	warcry cry #	6_warcry
2524,1729	warcry growl @	warcry growl #	6_warcry
2524,1730	warcry holler @	warcry holler #	6_warcry
2524,1731	warcry shout @	warcry shout #	6_warcry
2524,1732	warcry yowlp @	warcry yowlp #	6_warcry
2524,1733	wave @	wave #	5_roleplay
2524,1734	wave % at @	wave left at #	3
2524,1735	wave % at @	wave right at #	3
2524,1736	wear @	wear #	2
2524,1737	weigh @	weight #	1
2524,1738	whisper group	_dialog # whisper group	9
2524,1739	whisper	_dialog # whisper	9
2524,1740	wink @	wink #	5_roleplay
2524,1741	help @	help @	0
2524,1742	depart CONFIRM	depart confirm	0
2524,1743	deposit @	deposit #	8
2524,1744	sign @	sign @	0
2524,1745	aim @	aim @	0
2524,1746	stop @	stop @	0
2524,1747	tend @ %	tend # %	8
2524,1748	unwrap @	unwrap @	0
