# Generated by tools/extract_psm_costs.rb from Lich's PSM tables.
# Do not hand-edit: re-run the tool.
# source	reference/lich-5/lib/gemstone/psms
# source-commit	236a9a2 2026-09-16
# rows	187
# while_cooling: the cost while the PSM's own cooldown is up, when it differs (cman.rb:62,576)
category	mnemonic	long_name	type	gauge	cost	while_cooling	source
armor	blessing	armor_blessing	buff	stamina	0		lich-5/lib/gemstone/psms/armor.rb:31
armor	reinforcement	armor_reinforcement	buff	stamina	0		lich-5/lib/gemstone/psms/armor.rb:38
armor	spikemastery	armor_spike_mastery	passive	stamina	0		lich-5/lib/gemstone/psms/armor.rb:45
armor	support	armor_support	buff	stamina	0		lich-5/lib/gemstone/psms/armor.rb:52
armor	casting	armored_casting	buff	stamina	0		lich-5/lib/gemstone/psms/armor.rb:59
armor	evasion	armored_evasion	buff	stamina	0		lich-5/lib/gemstone/psms/armor.rb:66
armor	fluidity	armored_fluidity	buff	stamina	0		lich-5/lib/gemstone/psms/armor.rb:73
armor	stealth	armored_stealth	buff	stamina	0		lich-5/lib/gemstone/psms/armor.rb:80
armor	crush	crush_protection	passive	stamina	0		lich-5/lib/gemstone/psms/armor.rb:87
armor	puncture	puncture_protection	passive	stamina	0		lich-5/lib/gemstone/psms/armor.rb:98
armor	slash	slash_protection	passive	stamina	0		lich-5/lib/gemstone/psms/armor.rb:109
cman	acrobatsleap	acrobats_leap	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:26
cman	bearhug	bearhug	concentration	stamina	10		lich-5/lib/gemstone/psms/cman.rb:33
cman	berserk	berserk	attack	stamina	20		lich-5/lib/gemstone/psms/cman.rb:41
cman	blockspec	block_specialization	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:48
cman	bullrush	bull_rush	area_of_effect	stamina	14		lich-5/lib/gemstone/psms/cman.rb:55
cman	burst	burst_of_swiftness	buff	stamina	30	60	lich-5/lib/gemstone/psms/cman.rb:62
cman	cheapshots	cheapshots	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:71
cman	focus	combat_focus	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:78
cman	mobility	combat_mobility	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:85
cman	cmovement	combat_movement	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:92
cman	toughness	combat_toughness	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:99
cman	coupdegrace	coup_de_grace	attack	stamina	20		lich-5/lib/gemstone/psms/cman.rb:106
cman	cpress	crowd_press	setup	stamina	9		lich-5/lib/gemstone/psms/cman.rb:118
cman	cdefense	cunning_defense	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:125
cman	cutthroat	cutthroat	setup	stamina	14		lich-5/lib/gemstone/psms/cman.rb:132
cman	dirtkick	dirtkick	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:142
cman	disarm	disarm_weapon	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:149
cman	dislodge	dislodge	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:158
cman	divert	divert	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:166
cman	duckandweave	duck_and_weave	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:176
cman	shroud	dust_shroud	buff	stamina	10		lich-5/lib/gemstone/psms/cman.rb:184
cman	evadespec	evade_specialization	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:191
cman	eviscerate	eviscerate	area_of_effect	stamina	14		lich-5/lib/gemstone/psms/cman.rb:198
cman	executioner	executioners_stance	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:207
cman	exsanguinate	exsanguinate	attack	stamina	15		lich-5/lib/gemstone/psms/cman.rb:215
cman	eyepoke	eyepoke	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:222
cman	feint	feint	setup	stamina	9		lich-5/lib/gemstone/psms/cman.rb:230
cman	flurry	flurry_of_blows	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:237
cman	footstomp	footstomp	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:245
cman	garrote	garrote	concentration	stamina	10		lich-5/lib/gemstone/psms/cman.rb:252
cman	grapplespec	grapple_specialization	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:262
cman	griffin	griffins_voice	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:269
cman	gkick	groin_kick	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:277
cman	hamstring	hamstring	setup	stamina	9		lich-5/lib/gemstone/psms/cman.rb:288
cman	haymaker	haymaker	setup	stamina	9		lich-5/lib/gemstone/psms/cman.rb:299
cman	headbutt	headbutt	setup	stamina	9		lich-5/lib/gemstone/psms/cman.rb:307
cman	iharmony	inner_harmony	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:318
cman	ipower	internal_power	buff	stamina	20		lich-5/lib/gemstone/psms/cman.rb:326
cman	kifocus	ki_focus	buff	stamina	20		lich-5/lib/gemstone/psms/cman.rb:333
cman	kickspec	kick_specialization	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:341
cman	kneebash	kneebash	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:348
cman	leapattack	leap_attack	attack	stamina	15		lich-5/lib/gemstone/psms/cman.rb:357
cman	mblow	mighty_blow	attack	stamina	15		lich-5/lib/gemstone/psms/cman.rb:366
cman	mug	mug	attack	stamina	15		lich-5/lib/gemstone/psms/cman.rb:374
cman	nosetweak	nosetweak	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:381
cman	parryspec	parry_specialization	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:389
cman	precision	precision	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:396
cman	predator	predators_eye	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:403
cman	punchspec	punch_specialization	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:411
cman	retreat	retreat	buff	stamina	30		lich-5/lib/gemstone/psms/cman.rb:418
cman	krynch	rolling_krynch_stance	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:425
cman	sbash	shield_bash	setup	stamina	9		lich-5/lib/gemstone/psms/cman.rb:433
cman	sidebyside	side_by_side	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:440
cman	slipperymind	slippery_mind	martial_stance	stamina	0		lich-5/lib/gemstone/psms/cman.rb:447
cman	scleave	spell_cleave	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:454
cman	sparry	spell_parry	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:464
cman	sthieve	spell_thieve	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:471
cman	spikefocus	spike_focus	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:481
cman	sattack	spin_attack	attack	stamina	0		lich-5/lib/gemstone/psms/cman.rb:488
cman	sblow	staggering_blow	attack	stamina	15		lich-5/lib/gemstone/psms/cman.rb:499
cman	stance	stance_perfection	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:507
