category	id	base_name	damage_factor_by_ag_0_to_5	base_rt	min_rt	slash	crush	puncture	special	avd_by_asg_1_to_20	weighting_type	weighting_amount
blunt	ball_and_chain	ball and chain	|0.4|0.3|0.23|0.26|0.18	6	4	0	100	0		15|15|||20|19|18|17|27|25|23|21|35|31|27|23|30|24|18|12		
blunt	crowbill	crowbill	|0.35|0.25|0.2|0.15|0.125	3	3	0	50	50		40|40|||36|35|34|33|30|28|26|24|30|26|22|18|20|14|8|2		
blunt	cudgel	cudgel	|0.35|0.275|0.2|0.225|0.15	4	4	0	100	0		20|20|||20|19|18|17|25|23|21|19|25|21|17|13|30|24|18|12		
blunt	leather_whip	leather whip	|0.275|0.15|0.09|0.1|0.035	2	3	0	100	0		35|35|||25|24|23|22|20|18|16|14|25|21|17|13|15|9|3|-3		
blunt	mace	mace	|0.4|0.3|0.225|0.25|0.175	4	4	0	100	0		31|31|||32|31|30|29|35|33|31|29|42|38|34|30|36|30|24|18		
blunt	morning_star	morning star	|0.425|0.325|0.275|0.3|0.225	5	4	0	66.7	33.3		33|33|||35|34|33|32|34|32|30|28|42|38|34|30|37|31|25|19		
blunt	war_hammer	war hammer	|0.41|0.29|0.25|0.275|0.2	4	4	0	66.7	33.3		25|25|||30|29|28|27|32|30|28|26|41|37|33|29|37|31|25|19		
brawling	blackjack	blackjack	|0.25|0.14|0.09|0.11|0.075	1	2	0	100	0		40|40|||35|34|33|32|25|23|21|19|15|11|7|3|0|-6|-12|-18		
brawling	cestus	cestus	|0.25|0.175|0.15|0.075|0.035	1	2	0	100	0		40|40|||30|29|28|27|20|18|16|14|10|6|2|-2|-25|-31|-37|-43		
brawling	closed_fist	closed fist	|0.1|0.075|0.04|0.036|0.032	1	2	0	100	0		25|25|||20|19|18|17|10|8|6|4|5|1|-3|-7|-5|-11|-17|-23		
brawling	fist_scythe	fist-scythe	|0.35|0.225|0.2|0.175|0.125	3	3	66.7	16.7	16.6		45|45|||40|39|38|37|30|28|26|24|37|33|29|25|20|14|8|2		
brawling	hook_knife	hook-knife	|0.25|0.175|0.125|0.07|0.035	1	2		0			40|40|||30|29|28|27|18|16|13|12|10|6|2|-2|-15|-21|-27|-33		
brawling	jackblade	jackblade	|0.25|0.175|0.15|0.15|0.11	2	3			0		45|45|||35|34|33|32|25|23|21|19|20|16|12|8|10|4|-2|-8		
brawling	knuckle_blade	knuckle-blade	|0.25|0.15|0.1|0.075|0.075	1	2	66.7	33.3	0		45|45|||40|39|38|37|25|23|21|19|25|21|17|13|0|-6|-12|-18		
brawling	knuckle_duster	knuckle-duster	|0.25|0.175|0.125|0.1|0.04	1	2	0	100	0		35|35|||32|31|30|29|25|23|21|19|18|14|10|6|0|-6|-12|-18		
brawling	paingrip	paingrip	|0.225|0.2|0.125|0.075|0.03	1	2					40|40|||20|19|18|17|15|13|11|9|15|11|7|3|-25|-31|-37|-43		
brawling	razorpaw	razorpaw	|0.275|0.2|0.125|0.05|0.03	1	2	100	0	0		35|35|||20|19|18|17|10|8|6|4|0|-4|-8|-12|-25|-31|-37|-43		
brawling	sai	sai	|0.25|0.2|0.11|0.15|0.04	2	3	0	0	100		30|30|||31|30|29|28|25|23|21|19|33|29|25|21|6|0|-6|-12		
brawling	tiger_claw	tiger-claw	|0.275|0.2|0.15|0.1|0.035	1	2			0		40|40|||25|24|23|22|15|13|11|9|5|1|-3|-7|-25|-31|-37|-43		
