area	source	room_id	room_name	floor	confidence
Wehnimer's Landing	mapdb location	325	[Herbalist's, Dispensary]	0	strong
Wehnimer's Landing	mapdb location	382	[Empath Guild, Entrance]	0	certain
Wehnimer's Landing	mapdb location	383	[Cooper's Shop, Front Room]	0	strong
Wehnimer's Landing	mapdb location	384	[Cooper's Shop, Workshop]	0	strong
Wehnimer's Landing	mapdb location	385	[Landing Hall, Courtyard]	0	certain
Wehnimer's Landing	mapdb location	386	[Krythussa's Confectionary Shop]	0	strong
Wehnimer's Landing	mapdb location	387	[Moot Hall, Great Lobby]	0	moderate
Wehnimer's Landing	mapdb location	388	[Moot Hall, Storage Facility]	0	moderate
Wehnimer's Landing	mapdb location	389	[Moot Hall, Storage Hall]	0	moderate
Wehnimer's Landing	mapdb location	390	[Moot Hall, Storage Hall]	0	moderate
Wehnimer's Landing	mapdb location	391	[Moot Hall, Storage Hall]	0	moderate
Wehnimer's Landing	mapdb location	392	[Moot Hall, Storage Hall]	0	moderate
Wehnimer's Landing	mapdb location	393	[Moot Hall, Storage Hall]	0	moderate
Wehnimer's Landing	mapdb location	394	[Moot Hall, Storage Hall]	0	moderate
Wehnimer's Landing	mapdb location	395	[Moot Hall, Landing]	-1	moderate
Wehnimer's Landing	mapdb location	396	[Moot Hall, Upstairs Corridor]	-1	moderate
Wehnimer's Landing	mapdb location	397	[Moot Hall, Upstairs Corridor]	-1	moderate
Wehnimer's Landing	mapdb location	398	[Citizenship Office]	-1	moderate
Wehnimer's Landing	mapdb location	399	[First Elanith Bank, Lobby]	0	strong
Wehnimer's Landing	mapdb location	400	[First Elanith Bank, Teller]	0	strong
Wehnimer's Landing	mapdb location	401	[Aznell's Armory, Forge]	0	strong
Wehnimer's Landing	mapdb location	402	[Tykel's Arms, Showroom]	0	strong
Wehnimer's Landing	mapdb location	403	[Tykel's Arms, Backroom]	0	strong
Wehnimer's Landing	mapdb location	405	[Dakris's Furs, Front Room]	0	strong
Wehnimer's Landing	mapdb location	406	[Dakris's Furs, Rugs and Bedding]	0	strong
Wehnimer's Landing	mapdb location	407	[Dakris's Furs, Showroom]	0	strong
Wehnimer's Landing	mapdb location	408	[Kilron's Pawnshop, Front Room]	0	strong
Wehnimer's Landing	mapdb location	409	[Pawn Shop, Backroom]	0	strong
Wehnimer's Landing	mapdb location	477	[Hearthstone, Front Porch]	0	certain
