  band   rows  running total   share   expected accuracy of everything kept so far
   97%    261            261   13.5%                                         97.4%
   96%     78            339   17.5%                                         97.2%
   95%    171            510   26.3%                                         96.5%
   94%    241            751   38.8%                                         95.9%
   93%    128            879   45.4%                                         95.6%
   92%     74            953   49.2%                                         95.3%
   91%     98           1051   54.3%                                         95.0%
   90%     73           1124   58.0%                                         94.7%
   89%     61           1185   61.2%                                         94.4%
   88%     54           1239   64.0%                                         94.1%
   87%     48           1287   66.4%                                         93.9%
   86%     38           1325   68.4%                                         93.7%
   85%     21           1346   69.5%                                         93.6%
   84%     27           1373   70.9%                                         93.4%
   83%     18           1391   71.8%                                         93.3%
   82%     18           1409   72.7%                                         93.1%
   81%     30           1439   74.3%                                         92.9%
   80%     37           1476   76.2%                                         92.6%
   79%     41           1517   78.3%                                         92.2%
   78%     46           1563   80.7%                                         91.8%
   77%     46           1609   83.1%                                         91.4%
   76%     48           1657   85.5%                                         91.0%
   75%     45           1702   87.9%                                         90.6%
   74%     26           1728   89.2%                                         90.3%
   73%     34           1762   91.0%                                         90.0%
   72%     21           1783   92.0%                                         89.8%
   71%     26           1809   93.4%                                         89.5%
   70%     15           1824   94.2%                                         89.4%
   69%     14           1838   94.9%                                         89.2%
   68%     10           1848   95.4%                                         89.1%
   67%     10           1858   95.9%                                         89.0%
   66%      9           1867   96.4%                                         88.9%
   65%     12           1879   97.0%                                         88.7%
   64%      8           1887   97.4%                                         88.6%
   63%      5           1892   97.7%                                         88.6%
   62%      9           1901   98.1%                                         88.4%
   61%      3           1904   98.3%                                         88.4%
   60%      4           1908   98.5%                                         88.3%
   59%      2           1910   98.6%                                         88.3%
   58%      2           1912   98.7%                                         88.3%
   57%      5           1917   99.0%                                         88.2%
   56%      4           1921   99.2%                                         88.1%
   55%      4           1925   99.4%                                         88.1%
   54%      2           1927   99.5%                                         88.0%
   53%      3           1930   99.6%                                         88.0%
   52%      3           1933   99.8%                                         87.9%
   50%      3           1936   99.9%                                         87.9%
   46%      1           1937  100.0%                                         87.8%
