500/20226 asked=418
1000/20226 asked=1373
1500/20226 asked=1373
2000/20226 asked=1746
2500/20226 asked=2170
3000/20226 asked=2573
3500/20226 asked=3000
4000/20226 asked=3454
4500/20226 asked=3886
5000/20226 asked=4328
5500/20226 asked=4776
6000/20226 asked=5651
6500/20226 asked=5651
7000/20226 asked=6052
7500/20226 asked=6485
8000/20226 asked=6897
8500/20226 asked=7358
9000/20226 asked=7802
9500/20226 asked=8382
10000/20226 asked=8676
10500/20226 asked=9090
11000/20226 asked=9520
11500/20226 asked=9921
12000/20226 asked=10344
12500/20226 asked=10794
13000/20226 asked=11218
13500/20226 asked=11659
14000/20226 asked=12109
14500/20226 asked=12554
15000/20226 asked=12970
15500/20226 asked=13387
16000/20226 asked=14282
16500/20226 asked=14282
17000/20226 asked=14664
17500/20226 asked=15095
18000/20226 asked=15527
18500/20226 asked=15966
19000/20226 asked=16379
19500/20226 asked=16857
20000/20226 asked=17253
done: 20226 names, 17479 asked, tokens in=10007583 out=873950 cost=$0.420318
