2756	68	23282->23283	;e $mapdb_confluence_target = N; Room[..].wayto[..].call
523	7	7->30714	;e true
497	1362	6191->6192	;e target_room_id = N; maze_rooms = [..]; $minotaur_maze_dirs ||= Hash.new; loop { if (bounty? =~ R); child = GameObj.npcs.find { |npc| npc.noun == S }; else; child = nil; end; start_room = Room.current; $minotaur_maze_dirs[start_room.id] ||= Hash.new; dir = $minotaur_maze_dirs[start_room.id].keys.find { |d| $minotaur_maze_dirs[start_room.id][d] == target_room_id } || XMLData.room_exits.find { |d| $minotaur_maze_dirs[start_room.id][d].nil? } || $minotaur_maze_dirs[start_room.id].keys.find { |d| $minotaur_maze_dirs[$minotaur_maze_dirs[start_room.id][d]].values.include?(target_room_id) } || XMLData.room_exits[rand(XMLData.room_exits.length)]; move dir.dup; N.times { break if GameObj.npcs.any? { |npc| npc.id == child.id }; sleep N } if child; end_room = Room.current; $minotaur_maze_dirs[start_room.id][dir] = end_room.id; if end_room.id == target_room_id; break; elsif not maze_rooms.include?(end_room.id); dir = end_room.wayto[start_room.id.to_s]; if dir.class == Proc; dir.call; N.times { break if GameObj.npcs.any? { |npc| npc.id == child.id }; sleep N } if child; elsif dir.class == String; move dir.dup; N.times { break if GameObj.npcs.any? { |npc| npc.id == child.id }; sleep N } if child; end; end }
478	241	0->1	;e table = S; fput S if dothistimeout(S, N, R) =~ R
477	76	23282->188	;e $mapdb_confluence_target = S; Room[..].wayto[..].call
457	30	902->901	;e move S; waitrt?
311	1595	2579->12101	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; move S; waitrt?; fput S; else; echo S; end; $goN_restart = true
161	120	25692->25691	;e direction=S;start=Room.current.id; dothistimeout S, N, R while Room.current.id == start
150	247	2497->2496	;e if (UserVars.mapdb_ice_mode == S) or ((UserVars.mapdb_ice_mode != S) and ((XMLData.encumbrance_value > N) or ((Skills.survival < N) and not Spell[..].active?))); sleep N; echo S; sleep N; end; move S
113	73	11433->11435	;e if checkspell(N) then move S else move S end; waitrt?
110	1688	2579->2635	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S) or checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; if checkloot.include?(S); move S; elsif checkloot.include?(S); move S; end;; else; echo S; end; $goN_restart = true
102	21	665->26000	;e move S
82	66	31589->32077	;e dothistimeout S,N,R;waitrt?
80	116	13966->18842	;e if checksitting;while Room.current.id == N;fput(S);waitrt?;end;else;move(S);end;
63	40	117->16751	;e fput S; move S
62	126	250->1870	;e multifput S,S;waitfor S
60	67	9884->13183	;e N.times { move S; break if Room.current.id == N }
55	1563	2579->12208	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; move S; else; echo S; end; $goN_restart = true
55	1804	12091->2635	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S) or checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; if checkloot.include?(S); move S; elsif checkloot.include?(S); move S; end; else; echo S; end; $goN_restart = true
50	782	12662->12677	;e empty_hand if [..].include?(Room.current.id); swim_dir = { N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S }; while Room.current.id != N; if swim_dir[Room.current.id]; put S; else; echo S; put S; end; sleep N; waitrt?; end; fill_hand
50	40	20946->20945	;e pause N; waitrt?; fput S
39	1233	12095->12235	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; N.times { waitrt?; fput S unless standing?; waitrt?; result = dothistimeout S, N, R; waitrt?; fput S unless standing?; waitrt?; break if result =~ R }; move S; else; echo S; end; $goN_restart = true
38	38	2209->2210	;e fput S move S
37	92	7459->7460	;e fput S unless kneeling? or (Stats.race =~ R); move S
36	67	1983->12603	;e $mapdb_seeking_destination = N;Map[..].wayto[..].call;
31	23	5411->5413	;e move(S)
30	29	284->3668	;e Map[..].wayto[..].call;
29	14	8750->15995	;e fput S
28	66	23483->23490	;e if Spell[..].active?; move S;else; move S;end
27	49	234->19949	;e multifput S, S
26	51	1697->1698	;e empty_hands move S waitrt? fill_hands
26	35	3523->25626	;e fput S;move S
26	141	16719->16720	;e if resolve = Spell[..] and resolve.known? and resolve.affordable? and not resolve.active?; resolve.cast; end; move S; waitrt?
25	1016	12663->12662	;e empty_hand if [..].include?(Room.current.id); swim_dir = { N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S }; child = (bounty? =~ R) && GameObj.npcs.find { |npc| npc.noun == S }; while (Room.current.id != N); if swim_dir[Room.current.id]; put S; else; echo S; put S; end; sleep N; waitrt?; N.times { break if GameObj.npcs.any? { |npc| npc.id == child.id }; sleep N } if child; end; fill_hand
23	300	20470->20467	;e if resolve = Spell[..] and resolve.known? and resolve.affordable? and not resolve.active?; resolve.cast; end; if waterwalking = Spell[..] and waterwalking.known? and waterwalking.affordable? and not waterwalking.active?; waterwalking.cast; end; fput (Spell[..].active? ? S : S)
21	465	2877->2878	;e resolve=Spell[..] haste=Spell[..] if UserVars.mapdb_ice_mode == S || Skills.survival < N || XMLData.encumbrance_value >= N echo S; sleep N elsif resolve.known? && resolve.affordable? && !resolve.active? resolve.cast end result = fput S if result =~ R haste.cast if haste.known? && haste.affordable? && !haste.active? fput S $goN_restart = true end
20	45	1698->1697	;e empty_hands; move S; fill_hands
16	206	7486->24572	;e waitrt?; N.times { if standing?; break; else; fput S; sleep N; waitrt?; end }; move S; sleep N; waitrt?; N.times { if standing?; break; else; fput S; sleep N; waitrt?; end }; waitrt?
15	54	7489->19261	;e fput S;fput S
14	140	2485->2440	;e room = Room.current.id;fput S; if ( room == Room.current.id ); fput S;move S; end; $goN_restart = true
14	119	15948->7987	;e room = Room.current.id;fput S; if ( room == Room.current.id ); fput S;move S; end
13	38	26453->26454	;e move S; $goN_restart=true
12	119	25698->25811	;e direction=S;start=Room.current.id;dothistimeout S, N, R while Room.current.id == start
12	57	26905->7	;e move(S);UserVars.mapdb_duskruin_origin = nil;
11	79	7->26905	;e N.times{fput S};UserVars.mapdb_duskruin_origin = N;
11	81	7->31558	;e N.times{fput S};UserVars.mapdb_ebon_gate_origin = N;
10	124	18112->18926	;e loop { wait_until { Spell[..].affordable? }; result = cast(N, S); break unless result =~ R }
9	62	417->23281	;e move(S);UserVars.mapdb_talondown_origin = N;
9	82	1902->28704	;e fput S; fput S; move S
9	37	2216->2229	;e move S; sleep N; waitrt?
9	23	21961->22009	;e waitrt?; move S
9	65	23281->417	;e move(S);UserVars.mapdb_talondown_origin = nil;
8	163	3582->17747	;e unless (move S); echo S; waitfor S; move S; end
8	53	15694->17964	;e Map[..].wayto[..].call; # rogue guild proc
