edges	shape_id	sample	shape
1	7efec0cd471f809a	8696->13532	;e $SILVERWOOD_TOWN=:imt;move S
1	3211f51b7e9dfb61	14659->13532	;e $SILVERWOOD_TOWN=:va;move S
1	008e1840f3dfabd3	8695->13532	;e $SILVERWOOD_TOWN=:wl;move S
1	04fcb418a66dabad	32873->13532	;e $SILVERWOOD_TOWN=:zul;move S
2	c30212af5aa36dd1	1070->1071	;e $group_members = nil;clear.reverse.each { |line|; if line =~ R; break; elsif line =~ R; $group_members = $N.split(R); $group_members.delete_if { |m| m =~ R }; $group_members = nil if $group_members.empty?; break; end;};empty_hands;move S;waitrt?
1	d98050f371e2b432	18243->22550	;e %w(N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N).each{|id| force_start_script(S, [id]);wait_while{Script.running.count{|s| s.name == S} == N};break if GameObj.loot.collect{|i| i.noun}.include?(S)};move S
1	27cc8fb6a0bbe713	4537->7389	;e %w(circular triangular square rectangular).each{|d| dothistimeout S, N, R};fput S until standing?
1	76383d9d66ecf177	24241->313	;e (fput S until standing?;fput S) until Room.current.id != N;wait_until{Room.current.id == N}
1	25333b6c552c7043	18187->451	;e ; start_time = Time.now.to_i; fput S; _respond S; waitfor S; fput S; _respond S; waitfor S; fput S; _respond S; waitfor S; _respond S; waitfor S; fput S; _respond S; waitfor S; _respond S; fill_hands;
1	27f0a78987a4249b	18186->451	;e ; start_time = Time.now.to_i; refill_hands=false;(refill_hands = true;empty_hands;) if GameObj.right_hand.id or GameObj.left_hand.id; fput S; fput S; _respond S; waitfor S; fput S; _respond S; waitfor S; fput S; _respond S; waitfor S; _respond S; waitfor S; fput S; _respond S; waitfor S; _respond S; fill_hands if refill_hands;
1	ac84de37a38aeeff	11753->11749	;e ;ticket_nouns = [..];check_ticket = proc { |test_id|;look_result = dothistimeout S, N, R;if look_result =~ R;test_id;else;nil;end;};if ticket_nouns.include?(GameObj.right_hand.noun);ticket_id = check_ticket.call(GameObj.right_hand.id);else;ticket_id = nil;end;unless ticket_id;if ticket_nouns.include?(GameObj.left_hand.noun);if ticket_id = check_ticket.call(GameObj.left_hand.id);fput S;end;end;end;unless ticket_id;empty_hands;checked_containers = Array.new;for container in GameObj.inv;unless container.contents.nil? or container.contents.empty?;checked_containers.push(container.id);for item in container.contents;if ticket_nouns.include?(item.noun);break if ticket_id = check_ticket.call(item.id);end;end;end;break if ticket_id;end;if ticket_id;fput S;end;end;unless ticket_id;status_tags;inv_result = dothis S, R;status_tags;container_list = inv_result.scan(R).flatten;for container_id in (container_list - checked_containers);container = GameObj.inv.find { |obj| obj.id == container_id };next unless container;open_result = dothis S, R;if open_result == S;fput S;end;for item in container.contents;if ticket_nouns.include?(item.noun);break if ticket_id = check_ticket.call(item.id);end;end;if ticket_id;fput S;if open_result =~ R;fput S;end;break;else;if open_result =~ R;fput S;end;end;end;end;unless ticket_id;echo S;if $go2_get_silvers.nil?;echo S;exit;elsif $go2_get_silvers;echo S;sleep N;move S;move S;move S;move S;move S;move S;move S;fput S if hidden? or checkspell(N);ask_result = dothis S, R;if ask_result =~ R;cost = $N;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;fput S if hidden? or checkspell(N);withdraw_result = dothis S, R;unless withdraw_result =~ R;echo S;exit;end;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;move S;fput S if hidden? or checkspell(N);ask_result = dothis S, R;end;move S;move S;move S;move S;move S;move S;move S;else;echo S;exit;end;end;fput S if (hidden? or checkspell(N)) and checkloot.include?(S);unless checkloot.include?(S) and move(S);echo S ;line = get until line =~ R;fput S if hidden? or checkspell(N);move S;end
1	7979fda012420799	7664->7669	;e N.times do; waitrt?; fput S unless standing?; waitrt?; climb_result = dothistimeout S, N, R; break if climb_result =~ R;end
1	10c86bf5c0453530	22666->24233	;e N.times { fput S unless standing?; waitrt? }; fput S; if celerity = Spell[..] and celerity.known? and celerity.affordable? and not celerity.active?; celerity.cast; end; N.times { res = dothistimeout S, N, R; break if res !~ R}; move S
1	c92a1e02043d37d8	32612->32617	;e N.times { fput S };move S
1	118352e337ab67bb	10440->12415	;e N.times { fput S; sleep N; wait_while { stunned? } }; fput S; fput S; wait_until { Room.current.id == N }
1	de542b2e1cfce9ef	2679->2678	;e N.times { if celerity = Spell[..] and celerity.known? and celerity.affordable? and not celerity.active?; celerity.cast; end; dothistimeout S, N, R; break if move S }
4	05b9b44a9f9117be	12604->12605	;e N.times { if celerity = Spell[..] and celerity.known? and celerity.affordable? and not celerity.active?; celerity.cast; end; dothistimeout S, N, R; waitrt?; r = dothistimeout S, N, R; break if r =~ R }; empty_hands; move S; waitrt?; fill_hands
